mass1 	 log posteriorMass1 	 mass2 	 log posteriorMass2
30.0	6.30634107237e-94	30.0	0.0277637568713
30.1	2.93246768258e-124	30.1	0.0192030816603
30.2	1.33514519964e-105	30.2	0.0129570186245
30.3	3.45122907346e-101	30.3	0.0184938945146
30.4	4.5725412828e-130	30.4	0.0113292526956
30.5	4.73214601495e-133	30.5	0.00943702583714
30.6	5.18512015593e-124	30.6	0.00596139221318
30.7	3.97145641569e-116	30.7	0.00537017458845
30.8	3.68264351539e-118	30.8	0.000403921950549
30.9	2.15042583929e-102	30.9	0.00391233185216
31.0	1.92145673812e-115	31.0	0.00332275510737
31.1	3.11727450933e-88	31.1	0.000843804004305
31.2	7.6995427817e-110	31.2	0.00081514130991
31.3	6.89445668291e-104	31.3	0.000371869254557
31.4	9.4442026272e-100	31.4	0.000357103715498
31.5	2.62863160757e-91	31.5	0.000189293552685
31.6	9.48063630407e-85	31.6	8.84594292272e-05
31.7	8.48235952138e-88	31.7	9.91923114756e-05
31.8	2.4229347829e-71	31.8	7.55947114715e-05
31.9	6.10915003188e-68	31.9	3.24173814774e-05
32.0	1.58509120574e-64	32.0	3.68573072085e-05
32.1	2.8129636377e-51	32.1	3.46063333379e-05
32.2	1.90181898982e-54	32.2	1.99152655648e-05
32.3	1.04886404921e-41	32.3	1.0961506049e-05
32.4	7.05185304513e-26	32.4	1.80101013125e-06
32.5	3.20394510755e-30	32.5	3.298490336e-06
32.6	9.79012744952e-23	32.6	1.37786450915e-06
32.7	1.06242320073e-24	32.7	3.64761876887e-06
32.8	5.37881373659e-15	32.8	4.09991196816e-05
32.9	4.34207228289e-12	32.9	2.89916515101e-06
33.0	8.36666961249e-10	33.0	7.99821170705e-06
33.1	8.1977656772e-11	33.1	1.31101515233e-06
33.2	3.76801625279e-05	33.2	9.91682371245e-07
33.3	2.28623110012e-06	33.3	1.06423837281e-06
33.4	9.13199219017e-07	33.4	4.55526132987e-07
33.5	3.57187521875e-06	33.5	4.00441184933e-08
33.6	4.06540573731e-06	33.6	4.34747752671e-12
33.7	5.17053499473e-06	33.7	5.09371184327e-13
33.8	2.42201787463e-06	33.8	5.1388858626e-13
33.9	3.48319661971e-06	33.9	1.67322608458e-17
34.0	6.43467480141e-06	34.0	8.43346254211e-23
34.1	3.00139050907e-05	34.1	1.9561648783e-25
34.2	1.23997971039e-05	34.2	2.03611692559e-24
34.3	2.45529515251e-05	34.3	3.38724796279e-27
34.4	3.7073353092e-05	34.4	8.85060637832e-32
34.5	2.61652191614e-05	34.5	6.31089791514e-35
34.6	5.55745938361e-05	34.6	6.33592997168e-35
34.7	0.00012151134411	34.7	2.30215080787e-38
34.8	0.00012141081276	34.8	9.37729369645e-42
34.9	0.00039810295485	34.9	6.69190154811e-49
35.0	0.000478071274376	35.0	1.03619458045e-50
35.1	0.00371316235803	35.1	2.07338776285e-54
35.2	0.00449055342551	35.2	3.71831245338e-58
35.3	0.000637175808196	35.3	6.26929336488e-62
35.4	0.00320952349281	35.4	8.34768039221e-64
35.5	0.00606989854053	35.5	1.37105309054e-67
35.6	0.0142175630018	35.6	2.76727689507e-73
35.7	0.0277204054319	35.7	1.60536503569e-75
35.8	0.0223098891655	35.8	1.81788756302e-76
35.9	0.0481106422802	35.9	1.15510784002e-75
36.0	0.0581700523441	36.0	1.68452746144e-86
36.1	0.141773605068	36.1	2.89326613728e-90
36.2	0.133437268489	36.2	1.39589968384e-97
36.3	0.141079036695	36.3	1.31456325877e-99
36.4	0.0961242032417	36.4	1.06227506101e-86
36.5	0.139178841144	36.5	4.86461160094e-105
36.6	0.0431027212521	36.6	2.69409418789e-101
36.7	0.0579253879244	36.7	6.32824504668e-114
36.8	0.0297342924266	36.8	4.09889118141e-115
36.9	0.00869929976664	36.9	4.59872310533e-118
37.0	0.00381260744034	37.0	3.89385314084e-107
37.1	0.00159856739615	37.1	3.29880879485e-105
37.2	0.000312586707235	37.2	1.68842120737e-129
37.3	5.99577429103e-05	37.3	1.29072987779e-116
37.4	0.0131380646737	37.4	1.78025503528e-131
37.5	3.3125653038e-07	37.5	2.9714790174e-119
37.6	4.68982384527e-08	37.6	7.74399519186e-121
37.7	1.14507024157e-09	37.7	6.5357706991e-147
37.8	9.16987292403e-10	37.8	5.3385408905e-134
37.9	1.32521569559e-08	37.9	3.54871780396e-132
38.0	1.61931387014e-07	38.0	2.43377887938e-149
38.1	8.05036261206e-17	38.1	2.3423077881e-150
38.2	2.15962974721e-19	38.2	3.51303970668e-135
