File 	 GPStime 	 Hincoh64
posterior_H1_1128933299.79-920.hdf5	1128933299.79	5.22395807728
posterior_H1_1128932085.61-739.hdf5	1128932085.61	2.71948376991
posterior_H1_1127394653.64-723.hdf5	1127394653.64	7.19259814022
posterior_H1_1129105774.02-701.hdf5	1129105774.02	5.79768482197
posterior_H1_1126955590.62-692.hdf5	1126955590.62	6.84013781951
posterior_H1_1129082162.57-902.hdf5	1129082162.57	3.10269136816
posterior_H1_1127188687.82-839.hdf5	1127188687.82	5.64917208382
posterior_H1_1128998665.83-774.hdf5	1128998665.83	6.07881570115
posterior_H1_1128814949.48-911.hdf5	1128814949.48	4.35956476897
posterior_H1_1126999148.36-662.hdf5	1126999148.36	5.66839266677
posterior_H1_1126562421.57-672.hdf5	1126562421.57	5.23983881083
posterior_H1_1128250583.68-770.hdf5	1128250583.68	7.89435923882
posterior_H1_1127718903.33-854.hdf5	1127718903.33	3.37735554928
posterior_H1_1127783006.16-655.hdf5	1127783006.16	6.88185134345
posterior_H1_1127999992.18-687.hdf5	1127999992.18	7.13128045159
posterior_H1_1127787846.61-751.hdf5	1127787846.61	4.72501619292
posterior_H1_1128688216.65-627.hdf5	1128688216.65	9.25441156773
posterior_H1_1127002734.67-706.hdf5	1127002734.67	5.20861982906
posterior_H1_1126409035.17-916.hdf5	1126409035.17	4.47592404253
posterior_H1_1128403798.24-904.hdf5	1128403798.24	6.54433815051
posterior_H1_1127239888.6-658.hdf5	1127239888.6	5.31186719231
posterior_H1_1128121760.76-670.hdf5	1128121760.76	7.91036780833
posterior_H1_1128503871.17-891.hdf5	1128503871.17	7.67740889725
posterior_H1_1127365568.72-722.hdf5	1127365568.72	6.35876371072
posterior_H1_1127737863.12-713.hdf5	1127737863.12	9.42581233583
posterior_H1_1128134491.19-823.hdf5	1128134491.19	8.39086298015
posterior_H1_1129077080.87-905.hdf5	1129077080.87	5.99368716299
posterior_H1_1129080224.54-822.hdf5	1129080224.54	6.20852179842
posterior_H1_1127433122.83-811.hdf5	1127433122.83	5.48886164921
