log Posterior Distribution 	 m1 	 m2
1950783.41418	39.0	34.0
1950756.0415	39.0	35.0
1950726.54013	39.0	36.0
1950693.55624	39.0	37.0
1950657.30846	39.0	38.0
1950487.76779	40.0	20.0
1950577.24638	40.0	21.0
1950653.80324	40.0	22.0
1950705.80884	40.0	23.0
1950780.57341	40.0	24.0
1950622.75749	40.0	25.0
1950517.16488	40.0	26.0
1950628.80616	40.0	27.0
1950823.27907	40.0	28.0
1950809.92217	40.0	29.0
1950797.02642	40.0	30.0
1950780.72224	40.0	31.0
1950590.70007	40.0	32.0
1950559.41782	40.0	33.0
1950549.21098	40.0	34.0
1950702.26218	40.0	35.0
1950675.78355	40.0	36.0
1950645.67424	40.0	37.0
1950698.69637	40.0	38.0
1950413.19187	40.0	39.0
1950429.70127	41.0	20.0
1950418.15836	41.0	21.0
1950524.72039	41.0	22.0
1950670.00851	41.0	23.0
1950634.42675	41.0	24.0
1950666.29249	41.0	25.0
1950616.7495	41.0	26.0
1950619.58077	41.0	27.0
1950698.57995	41.0	28.0
1950702.80337	41.0	29.0
1950702.1574	41.0	30.0
1950574.57976	41.0	31.0
1950689.20225	41.0	32.0
1950585.68901	41.0	33.0
1950664.38022	41.0	34.0
1950532.07056	41.0	35.0
1950622.29069	41.0	36.0
1950520.65972	41.0	37.0
1950566.26593	41.0	38.0
1950535.2914	41.0	39.0
1950502.98998	41.0	40.0
1950381.96685	42.0	20.0
1950370.06537	42.0	21.0
1950393.89387	42.0	22.0
1950398.23974	42.0	23.0
1950468.27819	42.0	24.0
1950498.27522	42.0	25.0
1950527.9048	42.0	26.0
1950557.65487	42.0	27.0
1950582.14274	42.0	28.0
1950580.55531	42.0	29.0
1950603.98149	42.0	30.0
1950593.43746	42.0	31.0
1950616.26074	42.0	32.0
1950567.73613	42.0	33.0
1950601.84431	42.0	34.0
1950587.92631	42.0	35.0
1950557.7516	42.0	36.0
1950544.82037	42.0	37.0
1950520.1072	42.0	38.0
1950493.51067	42.0	39.0
1950469.01567	42.0	40.0
1950428.54211	42.0	41.0
1950380.93697	43.0	20.0
1950314.99371	43.0	21.0
1950650.87613	43.0	22.0
