L1_cplx_snr_amp	L1_cplx_snr_arg	L1_optimal_snr	LAL_AMPORDER	LAL_APPROXIMANT	LAL_PNORDER	a1	a2	mc	costheta_jn	dec	deltalogL	deltaloglL1	f_ref	flow	logL	logPrior	logdistance	logw	matched_filter_snr	optimal_snr	phi_orb	phi12	phi_jl	psi	psdScaleFlag	q	ra	signalModelFlag	tilt1	tilt2	time	
2.09750343740930e+00	-2.72971531579249e+00	1.53887861770307e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	6.50470712818950e-02	8.53332515100546e-01	1.63410300761114e+01	-1.93201631037438e-01	-1.96228460081169e-01	-4.14193855893063e+00	-4.14193855893063e+00	2.00000000000000e+01	2.00000000000000e+01	-4.13752813330543e+03	1.45414951303482e+01	6.48419654434679e+00	-6.77475657648533e+00	-1.92209107650956e+00	1.53887861770307e+00	3.47740523477346e+00	1.36726692823931e+00	1.06608940746100e+00	2.22655299267304e+00	0.00000000000000e+00	1.25739119759910e-01	5.78162140769449e+00	1.00000000000000e+00	1.71781624248834e+00	2.23309408700688e+00	1.12761870436959e+09	
1.31887967695502e+00	-2.66017312357718e+00	1.82871016178050e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	8.37508112997250e-01	4.50440792585230e-02	2.18649944908629e+01	-4.80110262150889e-01	6.82646734102636e-01	-3.80980480605649e+00	-3.80980480605649e+00	2.00000000000000e+01	2.00000000000000e+01	-4.13719599955256e+03	1.40981345101101e+01	7.17785091307552e+00	-6.43468200597253e+00	-1.16897386083053e+00	1.82871016178050e+00	1.05228223151313e+00	5.48498066642984e+00	1.97036275255750e-01	6.21909433016407e-01	0.00000000000000e+00	3.37970875967282e-01	2.45222281839649e+00	1.00000000000000e+00	2.18585834835841e+00	2.05552184585838e+00	1.12761870422949e+09	
1.26756538938012e+00	-2.28639713139159e+00	2.03653042969888e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	6.79260530674020e-01	7.47756595686804e-01	1.91837925114168e+01	-1.05968433251881e-01	4.06021557100278e-01	-3.76733295847771e+00	-3.76733295847771e+00	2.00000000000000e+01	2.00000000000000e+01	-4.13715352770498e+03	1.28469203878980e+01	6.36899028453641e+00	-6.23930102859382e+00	-8.31612844195888e-01	2.03653042969888e+00	1.84053424219512e+00	4.70442866785771e+00	5.47871352266149e+00	2.99632034564515e+00	0.00000000000000e+00	7.18719413935966e-01	2.01958436073722e+00	1.00000000000000e+00	1.56494635248732e+00	1.56338993019435e+00	1.12761870423731e+09	
1.76570022859752e+00	1.15647222554330e+00	3.49631971084090e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	6.58632369216800e-03	8.15357795172438e-01	1.76940958323127e+01	-1.05026804283859e-01	-1.64073324705942e-01	-3.62687088038092e+00	-3.62687088038092e+00	2.00000000000000e+01	2.00000000000000e+01	-4.13701306562688e+03	1.37546971785034e+01	6.28764330213309e+00	-6.23930102859382e+00	7.10820258261908e-01	3.49631971084090e+00	3.31623492392638e+00	5.19996016973450e+00	1.71650352381226e+00	1.08310538033612e+00	0.00000000000000e+00	1.72509356974624e-01	8.12257453310280e-02	1.00000000000000e+00	1.53859999500187e+00	6.07774122276384e-01	1.12761870430315e+09	
2.01323041160506e+00	2.68891546091158e+00	1.33248962352027e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	6.72875539439297e-01	7.97524468154174e-01	1.75375644504860e+01	2.61399072202850e-01	2.13770317311828e-01	-3.30017895445690e+00	-3.30017895445690e+00	2.00000000000000e+01	2.00000000000000e+01	-4.13668637370096e+03	1.35428234136448e+01	7.25079131312387e+00	-6.23930102859382e+00	-1.81045661705725e+00	1.33248962352027e+00	4.33229781075059e+00	6.20589843199378e+00	1.46113614756551e-01	2.71300039178576e+00	0.00000000000000e+00	4.78103820790314e-01	1.95994152344432e+00	1.00000000000000e+00	1.32438934611577e+00	6.10653423046913e-01	1.12761870435739e+09	
2.02204072785026e+00	-2.73614118542009e+00	1.25481196929877e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	3.93395479798332e-01	7.28679286265270e-02	1.77233829811224e+01	-2.66993197272893e-01	1.31171782375907e+00	-3.11884591695980e+00	-3.11884591695980e+00	2.00000000000000e+01	2.00000000000000e+01	-4.13650504066346e+03	1.27780984840710e+01	7.24198685391815e+00	-6.23930102859382e+00	-1.85810259613252e+00	1.25481196929877e+00	1.49444386314297e+00	6.44983211861631e-01	3.90945222216598e+00	2.48448177797857e+00	0.00000000000000e+00	2.46117723595920e-01	1.18064114103272e+00	1.00000000000000e+00	1.41595361406491e+00	5.02293200423033e-01	1.12761870432404e+09	
2.03060282196123e+00	-2.96008162010852e+00	1.17717979601949e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	2.31065966913141e-01	7.10846846932748e-01	1.31288968656346e+01	6.93882544500729e-01	6.36736989564107e-01	-3.04399163298967e+00	-3.04399163298967e+00	2.00000000000000e+01	2.00000000000000e+01	-4.13643018637949e+03	1.28939803334001e+01	7.39029370373287e+00	-6.23930102859382e+00	-1.99724418042320e+00	1.17717979601949e+00	1.46121757522667e+00	5.71793464000652e+00	5.70176233069078e+00	1.29511696390656e+00	0.00000000000000e+00	8.49730213134381e-01	4.31349558916150e+00	1.00000000000000e+00	1.18975311807171e+00	9.37256274483998e-01	1.12761870431913e+09	
1.74397613794865e+00	1.51355178506812e+00	2.53345542540926e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	4.45501340105213e-01	4.46088103734349e-01	1.36358326945032e+01	-5.15028070809959e-01	7.47135563209156e-01	-2.95641356265423e+00	-2.95641356265423e+00	2.00000000000000e+01	2.00000000000000e+01	-4.13634260830916e+03	1.30448912718056e+01	6.81076502223506e+00	-6.23930102859382e+00	9.97785992517090e-02	2.53345542540926e+00	4.08975317243123e+00	3.52546259108662e+00	9.55623919476225e-01	2.39242458931031e+00	0.00000000000000e+00	4.45492684378529e-01	7.87704864579171e-01	1.00000000000000e+00	1.30882067247968e+00	2.10072437290037e+00	1.12761870426839e+09	
1.08765186158841e+00	-2.49736896985284e+00	1.67866606447743e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	8.47387800956692e-01	2.02324855639018e-01	1.95923219210541e+01	-5.78433987618101e-01	1.39687859536241e-01	-2.86881134453233e+00	-2.86881134453233e+00	2.00000000000000e+01	2.00000000000000e+01	-4.13625500609103e+03	1.42466772493092e+01	7.05630986787302e+00	-6.23930102859382e+00	-8.69649716170658e-01	1.67866606447743e+00	2.20124534404032e+00	6.08526465207149e+00	6.21487771061540e+00	7.30274446715429e-01	0.00000000000000e+00	1.46045818421755e-01	4.21296199060604e+00	1.00000000000000e+00	5.30603607297496e-01	2.45243298835693e+00	1.12761870425587e+09	
1.31720504313005e+00	-2.03328933598555e+00	1.87310664973993e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	4.32202248608851e-01	1.05761174699091e-01	1.66061158346928e+01	-2.07155156042239e-01	-2.12397560332722e-01	-2.85511025380492e+00	-2.85511025380492e+00	2.00000000000000e+01	2.00000000000000e+01	-4.13624130500031e+03	1.18143826020616e+01	6.74304954726087e+00	-7.00705879440374e+00	-5.87711326158513e-01	1.87310664973993e+00	3.22421474448769e+00	1.42819684388335e+00	3.09402208097310e+00	1.10485297676789e+00	0.00000000000000e+00	2.83160411656280e-01	3.55323698667747e+00	1.00000000000000e+00	1.98803855627396e+00	3.03445641359130e+00	1.12761870428117e+09	
1.45521228372816e+00	-2.83773986094709e+00	1.33367187318968e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	9.59056625080870e-02	4.74731452628417e-01	1.91087340005613e+01	1.84611171578382e-01	-5.68936238528935e-01	-2.74121068848945e+00	-2.74121068848945e+00	2.00000000000000e+01	2.00000000000000e+01	-4.13612740543499e+03	1.46523242670156e+01	7.24392571986265e+00	-6.77288929365049e+00	-1.38855020717486e+00	1.33367187318968e+00	1.46439962978813e+00	3.31630036222154e+00	4.94132583064541e+00	1.82668371295710e+00	0.00000000000000e+00	1.78561928047555e-01	3.58399769200253e+00	1.00000000000000e+00	2.25482560697783e+00	8.99856231297148e-01	1.12761870430898e+09	
1.69822541477459e+00	-3.11952446385778e+00	1.15780680687657e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	8.82158834388530e-02	3.09067907225567e-01	1.45636087733888e+01	6.04994122948383e-01	1.15213053208933e-01	-2.63599648655236e+00	-2.63599648655236e+00	2.00000000000000e+01	2.00000000000000e+01	-4.13602219123305e+03	1.32769820054941e+01	7.53106904197596e+00	-6.23930102859382e+00	-1.69781190942419e+00	1.15780680687657e+00	3.52780782816204e+00	2.54736148652822e+00	4.16639586437154e+00	1.87244714268832e+00	0.00000000000000e+00	4.45226970333110e-01	1.11016966338348e+00	1.00000000000000e+00	1.23973764065761e+00	2.75854629353762e+00	1.12761870436098e+09	
2.12165693604336e+00	-1.58166297994979e+00	2.27208015405569e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	5.72090101519419e-01	8.82712800620159e-01	1.48938878402319e+01	-4.02458632699986e-01	-5.94703790951576e-01	-2.63355659467106e+00	-2.63355659467106e+00	2.00000000000000e+01	2.00000000000000e+01	-4.13601975134117e+03	1.38950060706267e+01	7.35664664854989e+00	-6.73708337460814e+00	-2.30548562958760e-02	2.27208015405569e+00	9.09695416494358e-01	2.51006173413069e+00	6.77324444636857e-01	8.65870645158370e-02	0.00000000000000e+00	1.88991810948227e-01	2.41072089200758e+00	1.00000000000000e+00	7.28476002764642e-01	2.58093806091512e+00	1.12761870435478e+09	
3.26932658387011e-01	-3.10265840240608e+00	1.98347462929321e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	4.79028178880010e-01	1.21609829758183e-01	1.39122715633424e+01	5.22729456325527e-01	1.20505419961716e+00	-2.61505700356247e+00	-2.61505700356247e+00	2.00000000000000e+01	2.00000000000000e+01	-4.13600125175006e+03	1.18861453074285e+01	7.10714778275007e+00	-6.23930102859382e+00	-3.26684895016217e-01	1.98347462929321e+00	4.43876214882041e+00	1.95158350452246e-01	1.72707409384359e+00	2.95945668536272e-01	0.00000000000000e+00	8.77947465592050e-01	4.20542392778550e+00	1.00000000000000e+00	1.51115486599954e+00	2.22043842870323e+00	1.12761870437689e+09	
1.28694490910186e+00	-2.55927099937421e+00	1.39249692253486e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	8.02886197211220e-02	7.20217650244930e-01	2.01354746468515e+01	6.69303162993364e-01	-8.21155353971230e-01	-2.46623668122902e+00	-2.46623668122902e+00	2.00000000000000e+01	2.00000000000000e+01	-4.13585243142773e+03	1.48230361992682e+01	7.30579023016384e+00	-6.80219375137203e+00	-1.07484104084751e+00	1.39249692253486e+00	2.60842103435686e+00	5.37223093128261e+00	3.47491372685845e+00	9.77907575091135e-01	0.00000000000000e+00	1.98368369109264e-01	5.59044546013961e+00	1.00000000000000e+00	1.12195052843483e+00	1.45636871924452e+00	1.12761870436540e+09	
