H1_cplx_snr_amp	H1_cplx_snr_arg	H1_optimal_snr	LAL_AMPORDER	LAL_APPROXIMANT	LAL_PNORDER	a1	a2	mc	costheta_jn	dec	deltalogL	deltaloglH1	f_ref	flow	logL	logPrior	logdistance	logw	matched_filter_snr	optimal_snr	phi_orb	phi12	phi_jl	psi	psdScaleFlag	q	ra	signalModelFlag	tilt1	tilt2	time	
1.13412371468535e+00	-7.60968851691710e-02	4.68207902051470e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	2.01390860062240e-02	6.30136533030763e-01	1.68237102064377e+01	4.06089307154780e-01	2.75378361461281e-01	-5.66624227674083e+00	-5.66624227674083e+00	2.00000000000000e+01	2.00000000000000e+01	-3.94870013994290e+03	1.42348227302010e+01	6.60489268893751e+00	-6.23930102859382e+00	1.13084159349555e+00	4.68207902051470e+00	3.27049629561804e+00	1.88088562503609e-01	4.90697729392880e+00	1.30681647971717e+00	0.00000000000000e+00	2.24387424549607e-01	4.78927111720963e+00	1.00000000000000e+00	1.37349661418035e+00	1.66898353505783e+00	1.12640253135390e+09	
7.05409339851063e-01	3.26323204429101e-01	3.57541998652033e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	1.53036466809733e-01	6.11601792003192e-01	2.13537568328511e+01	7.23346605669935e-01	-8.76381227472658e-01	-4.00277902575635e+00	-4.00277902575635e+00	2.00000000000000e+01	2.00000000000000e+01	-3.94703667669192e+03	1.23869767278312e+01	7.02419341091383e+00	-6.53933835947585e+00	6.68183045140178e-01	3.57541998652033e+00	1.11011835237406e+00	1.18133263263152e+00	1.28601220512695e+00	4.57801491898783e-01	0.00000000000000e+00	3.82574273893863e-01	5.93335301605727e+00	1.00000000000000e+00	1.98139044252234e+00	2.90326487921868e+00	1.12640253131545e+09	
1.74152456450524e+00	-2.85788459092465e+00	1.54212765197697e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	3.71014122717076e-01	6.54999127497578e-01	1.56361100006943e+01	-7.41677695246123e-01	3.74811877999470e-02	-3.76737060349978e+00	-3.76737060349978e+00	2.00000000000000e+01	2.00000000000000e+01	-3.94680126826966e+03	1.51231684640650e+01	7.58786459208462e+00	-6.71683327162640e+00	-1.67190553434295e+00	1.54212765197697e+00	3.08958751885253e+00	3.40558321257059e+00	4.54684129095380e-02	2.33226742809944e+00	0.00000000000000e+00	1.82786760359483e-01	3.77640675156807e+00	1.00000000000000e+00	1.75209239234321e+00	8.35109744258239e-01	1.12640253140327e+09	
1.57451661581776e+00	-2.63244833047051e+00	1.67818432230336e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	1.75305009200950e-02	8.66723392040830e-02	1.88006181142045e+01	-7.49516541148229e-01	-5.44207609747966e-01	-3.71533243370141e+00	-3.71533243370141e+00	2.00000000000000e+01	2.00000000000000e+01	-3.94674923009986e+03	1.37922634642171e+01	7.59026235075619e+00	-6.83069731227583e+00	-1.37480793571121e+00	1.67818432230336e+00	1.47760541676550e+00	2.58425434671453e-01	5.94742997451438e+00	2.27461154370689e+00	0.00000000000000e+00	2.61078802043923e-01	8.46894244074980e-02	1.00000000000000e+00	6.31406122682514e-01	4.92647042629276e-01	1.12640253132446e+09	
1.54057715200146e+00	-2.93245402647421e+00	1.57034381119932e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	2.87085620479876e-01	1.71316415965632e-01	1.46852107631618e+01	6.85198092286212e-01	9.47659394573628e-01	-3.59951076577090e+00	-3.59951076577090e+00	2.00000000000000e+01	2.00000000000000e+01	-3.94663340843193e+03	1.35597572270448e+01	7.45824064776480e+00	-6.23930102859382e+00	-1.50700815083145e+00	1.57034381119932e+00	1.21948962885213e+00	1.47553445608147e+00	7.40974624797731e-01	2.97043163133934e+00	0.00000000000000e+00	4.96372877710265e-01	2.31294452153769e+00	1.00000000000000e+00	1.60139239797126e+00	1.86446487062230e+00	1.12640253131602e+09	
1.68035500156855e+00	2.57266194934749e+00	1.58178067585583e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	3.78048148817407e-01	4.91845161948881e-01	1.53971966751916e+01	-9.80884161799713e-01	-4.42559571463219e-01	-3.49028076399691e+00	-3.49028076399691e+00	2.00000000000000e+01	2.00000000000000e+01	-3.94652417843016e+03	1.47991796564902e+01	7.51817573882013e+00	-6.23930102859382e+00	-1.41566131444235e+00	1.58178067585583e+00	3.66275246518349e-01	1.96367872895453e+00	4.88306860666279e+00	1.90198240417269e+00	0.00000000000000e+00	2.34527435866603e-01	4.91829647630045e+00	1.00000000000000e+00	1.73543685483238e+00	2.11905807153399e+00	1.12640253127327e+09	
6.35439661784830e-01	2.06069428653808e+00	2.28319310866628e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	6.63794769927647e-01	3.05099428351398e-01	1.56043787421109e+01	-3.17531661309177e-01	4.01810891241372e-01	-3.28915360170822e+00	-3.28915360170822e+00	2.00000000000000e+01	2.00000000000000e+01	-3.94632305126787e+03	1.34595754037197e+01	6.73701594132080e+00	-6.23930102859382e+00	-2.98997142811185e-01	2.28319310866628e+00	2.58073089018429e+00	5.83671644484345e+00	4.97077446468912e+00	9.40769103275030e-01	0.00000000000000e+00	4.43604260989298e-01	2.87139065605428e-01	1.00000000000000e+00	1.88709193887090e+00	1.70545058070169e+00	1.12640253139443e+09	
1.18380893707336e+00	3.06241453394302e+00	1.60429746666573e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	2.74423848847630e-01	8.12781229732810e-01	1.42156436874413e+01	8.42002366475960e-02	-1.71081729231262e-01	-3.18011681820008e+00	-3.18011681820008e+00	2.00000000000000e+01	2.00000000000000e+01	-3.94621401448436e+03	1.30990346779781e+01	7.35683089441206e+00	-6.23930102859382e+00	-1.18010012280323e+00	1.60429746666573e+00	5.50150171755091e+00	2.85008901836357e+00	6.22616043303073e+00	2.13561157560661e+00	0.00000000000000e+00	7.54036042223058e-01	9.69904602730451e-01	1.00000000000000e+00	7.10698748176036e-01	1.32885586130035e+00	1.12640253143451e+09	
1.37639740298317e+00	1.64718348680748e+00	2.37213616344407e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	8.64210048562211e-01	1.58409380705614e-01	1.76847690230700e+01	4.56298644536520e-02	-6.15447950414468e-01	-3.06267674857691e+00	-3.06267674857691e+00	2.00000000000000e+01	2.00000000000000e+01	-3.94609657441474e+03	1.36904103205592e+01	6.93316050054586e+00	-6.23930102859382e+00	-1.05036870756758e-01	2.37213616344407e+00	2.97014570223726e+00	2.97851203294895e+00	2.18649570040906e+00	2.93048859543853e+00	0.00000000000000e+00	3.23613948834704e-01	3.22288279667850e+00	1.00000000000000e+00	2.38312013676410e+00	1.54936644242640e+00	1.12640253143596e+09	
1.64591032367337e+00	-2.33144694580547e+00	1.58085776017913e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	5.81960806124701e-01	6.59230673570096e-01	1.54242572952560e+01	1.81475008478421e-01	5.96104522797830e-02	-3.04332153689029e+00	-3.04332153689029e+00	2.00000000000000e+01	2.00000000000000e+01	-3.94607721920305e+03	1.43240189113562e+01	6.68964686578274e+00	-6.59146733372305e+00	-1.13467887694566e+00	1.58085776017913e+00	5.71581146134337e+00	1.56890761794130e+00	6.15515266252365e+00	8.66943436679892e-01	0.00000000000000e+00	1.54415152122328e-01	2.48068692816307e+00	1.00000000000000e+00	1.19561830431054e+00	8.09966780040493e-01	1.12640253129182e+09	
