H1_cplx_snr_amp	H1_cplx_snr_arg	H1_optimal_snr	LAL_AMPORDER	LAL_APPROXIMANT	LAL_PNORDER	a1	a2	mc	costheta_jn	dec	deltalogL	deltaloglH1	f_ref	flow	logL	logPrior	logdistance	logw	matched_filter_snr	optimal_snr	phi_orb	phi12	phi_jl	psi	psdScaleFlag	q	ra	signalModelFlag	tilt1	tilt2	time	
6.29796374827818e-01	1.42367016424268e+00	3.17336893349473e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	1.25544258594571e-01	2.28032772968474e-01	2.10471152453743e+01	-1.83310522523360e-01	2.27131395688700e-01	-4.74215200610843e+00	-4.74215200610843e+00	2.00000000000000e+01	2.00000000000000e+01	-3.98721913480179e+03	1.38295415981114e+01	6.76030991401980e+00	-6.33845736516716e+00	9.23255990924330e-02	3.17336893349473e+00	9.64209312150137e-01	6.16662311941839e+00	5.51498741311022e-01	1.75081348767458e-01	0.00000000000000e+00	2.44610679262029e-01	4.45891493775628e+00	1.00000000000000e+00	5.13813653236804e-01	1.40273279807773e+00	1.12761870436152e+09	
1.28253536717208e+00	2.79404976570459e+00	2.06815240307508e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	7.37487138930495e-01	7.02149959337600e-02	1.72133857021080e+01	-5.24980680771477e-01	8.26559146535310e-02	-4.63252049209586e+00	-4.63252049209586e+00	2.00000000000000e+01	2.00000000000000e+01	-3.98710950328777e+03	1.51789037707411e+01	7.36502304493350e+00	-6.23930102859382e+00	-1.20585567447299e+00	2.06815240307508e+00	4.40820641822033e-01	6.53073587019371e-01	2.43342636255170e+00	1.37079690013452e+00	0.00000000000000e+00	1.93745657042426e-01	4.54571599548513e+00	1.00000000000000e+00	1.49808106155094e+00	1.22294261998703e+00	1.12761870434157e+09	
8.75282210581887e-01	-2.06584969490094e+00	2.49028377969799e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	1.84931888114840e-01	6.39099349232034e-01	1.34145546183218e+01	5.92109742265260e-02	4.31083890317752e-01	-4.13628602278914e+00	-4.13628602278914e+00	2.00000000000000e+01	2.00000000000000e+01	-3.98661326881847e+03	1.25431505556253e+01	7.01711234762306e+00	-6.23930102859382e+00	-4.15827858462413e-01	2.49028377969799e+00	1.49125513547319e+00	6.92794967810185e-01	6.05436813868514e+00	2.78468431943385e+00	0.00000000000000e+00	5.61557047781612e-01	5.98372918793841e+00	1.00000000000000e+00	7.14239779979957e-01	7.18852332624130e-01	1.12761870432341e+09	
1.32238697946385e+00	3.05134647149783e+00	1.57841135655759e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	6.23141701563059e-01	4.48653798746105e-01	1.74106857693764e+01	-6.55659624381547e-01	-6.34258777994780e-02	-3.32446784293961e+00	-3.32446784293961e+00	2.00000000000000e+01	2.00000000000000e+01	-3.98580145063862e+03	1.32547998072432e+01	7.59434427319344e+00	-6.36807489381080e+00	-1.31700562660563e+00	1.57841135655759e+00	3.71340417404542e+00	3.17768478084536e+00	8.09114892149686e-01	2.56981070281604e+00	0.00000000000000e+00	7.76630136093380e-01	1.02275384095676e+00	1.00000000000000e+00	2.61837707741121e+00	1.32798270626470e+00	1.12761870430589e+09	
4.61010517536514e-01	7.46522357280080e-02	3.05853520258021e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	7.96586685607070e-02	7.84552572122491e-01	1.35812690330140e+01	6.25065002369319e-01	2.33084732742536e-01	-3.27122905300803e+00	-3.27122905300803e+00	2.00000000000000e+01	2.00000000000000e+01	-3.98574821184868e+03	1.37634965073766e+01	7.15361709699397e+00	-6.23930102859382e+00	4.59726518274842e-01	3.05853520258021e+00	5.98818525997151e+00	3.35246294278522e+00	1.06957407037694e+00	6.42640479653287e-01	0.00000000000000e+00	4.04643713167661e-01	5.06972568531362e+00	1.00000000000000e+00	1.65123073712977e+00	2.16125437317637e+00	1.12761870427838e+09	
1.34386467890478e+00	7.28916817021530e-01	3.72814169225506e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	2.21001659794536e-01	4.30273739218424e-01	2.16702582742708e+01	-9.71359769976664e-01	1.08361669680590e+00	-3.21249177159780e+00	-3.21249177159780e+00	2.00000000000000e+01	2.00000000000000e+01	-3.98568947456727e+03	1.50118251927472e+01	7.29843339878367e+00	-6.73125663059875e+00	1.00238370095505e+00	3.72814169225506e+00	9.67348197649757e-01	3.86352740816589e+00	4.77710027185080e+00	2.91222595385178e+00	0.00000000000000e+00	1.28207566744671e-01	6.02046926780887e+00	1.00000000000000e+00	1.14256538624446e+00	1.75903766452166e+00	1.12761870423985e+09	
3.28592849842677e-01	1.48859400858184e+00	2.54962421852757e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	3.04257738667647e-01	6.68458050205012e-01	1.35647865881197e+01	-9.25956053241954e-01	3.88546296541372e-01	-3.18150122174711e+00	-3.18150122174711e+00	2.00000000000000e+01	2.00000000000000e+01	-3.98565848401742e+03	1.46821914339329e+01	7.56224503301230e+00	-6.23930102859382e+00	2.69806842922330e-02	2.54962421852757e+00	3.10206238066287e+00	2.37796701764718e+00	3.73146579618852e-01	3.09011009385475e+00	0.00000000000000e+00	2.36542939935942e-01	4.57044260465996e+00	1.00000000000000e+00	1.19352996494446e+00	1.04046579839229e+00	1.12761870439044e+09	
2.49965982194848e+00	-2.09600640527353e+00	1.52649583478238e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	1.71296624513131e-01	5.90162351734620e-02	1.34278030368402e+01	-5.42998827880188e-01	-2.05704440547048e-01	-3.07827700874350e+00	-3.07827700874350e+00	2.00000000000000e+01	2.00000000000000e+01	-3.98555525980442e+03	1.44715077121761e+01	7.47486402802681e+00	-6.79457856020659e+00	-1.25331638537493e+00	1.52649583478238e+00	5.32517478651076e+00	3.09027873020764e-01	2.53139858023314e+00	1.74971592743911e+00	0.00000000000000e+00	3.08012338896036e-01	2.97731895764424e+00	1.00000000000000e+00	1.89090837448950e+00	1.86366780772322e+00	1.12761870437436e+09	
2.06132615437130e+00	1.16892880619268e+00	3.41113274970931e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	7.50869460128710e-02	5.53231837098236e-01	1.45308502275936e+01	7.05329002842595e-01	1.25357902530718e-01	-3.06764489930447e+00	-3.06764489930447e+00	2.00000000000000e+01	2.00000000000000e+01	-3.98554462769498e+03	1.25733767580509e+01	6.45812277228388e+00	-6.75672091865786e+00	8.06262500044768e-01	3.41113274970931e+00	2.84842348254502e+00	6.72668249702715e-01	4.84963799339421e+00	1.78835612051700e+00	0.00000000000000e+00	4.85728754213350e-01	3.14970074729931e+00	1.00000000000000e+00	2.41847388293871e+00	1.01867185507731e+00	1.12761870434822e+09	
7.74181814525520e-01	1.81908229420892e+00	2.25559371790248e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	1.87635745465407e-01	6.52637949310095e-01	2.12350014606735e+01	7.27823483175687e-01	7.37600197926809e-01	-2.97297741395414e+00	-2.97297741395414e+00	2.00000000000000e+01	2.00000000000000e+01	-3.98544996020963e+03	1.40404171402101e+01	7.40828887513129e+00	-6.73680168578596e+00	-1.90249644884095e-01	2.25559371790248e+00	4.30174366611366e+00	5.33195949805107e+00	5.72640846784285e+00	1.94084713730820e+00	0.00000000000000e+00	5.06752922373972e-01	2.95963052239144e+00	1.00000000000000e+00	1.68088121677481e+00	1.99287594588851e+00	1.12761870428832e+09	
