H1_cplx_snr_amp	H1_cplx_snr_arg	H1_optimal_snr	LAL_AMPORDER	LAL_APPROXIMANT	LAL_PNORDER	a1	a2	mc	costheta_jn	dec	deltalogL	deltaloglH1	f_ref	flow	logL	logPrior	logdistance	logw	matched_filter_snr	optimal_snr	phi_orb	phi12	phi_jl	psi	psdScaleFlag	q	ra	signalModelFlag	tilt1	tilt2	time	
2.03004340207569e+00	-2.57607978810137e+00	1.92900630135592e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	6.45375697575798e-01	6.70145025799380e-01	2.02763863918040e+01	4.91459838423593e-01	-4.29658495644290e-01	-5.16683758841464e+00	-5.16683758841464e+00	2.00000000000000e+01	2.00000000000000e+01	-3.94973670834643e+03	1.47164515843637e+01	7.58352661441440e+00	-6.23930102859382e+00	-1.71399384789726e+00	1.92900630135592e+00	4.40162169966254e+00	4.67601157879601e+00	6.71169572375310e-02	1.85523469576582e+00	0.00000000000000e+00	2.19812459540492e-01	2.80369779530259e+00	1.00000000000000e+00	2.12319544971384e+00	6.41573979627103e-01	1.12849707782576e+09	
1.59830120146444e+00	1.19503154278394e+00	3.60207054989362e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	6.40513616971876e-01	6.36139994916900e-02	2.02491985875172e+01	4.14401733431785e-01	3.52931612903565e-01	-4.37465781380661e+00	-4.37465781380661e+00	2.00000000000000e+01	2.00000000000000e+01	-3.94894452857183e+03	1.32973499508812e+01	6.56240645407785e+00	-6.23930102859382e+00	5.86551062821706e-01	3.60207054989362e+00	3.79025292880136e+00	6.16304017067259e+00	8.87759298569583e-01	4.76823112998348e-01	0.00000000000000e+00	5.73402116425495e-01	2.71771301478020e+00	1.00000000000000e+00	1.83728076374739e+00	1.76021700902181e+00	1.12849707793678e+09	
5.80991114548841e-01	1.69477062460547e+00	2.83071779729732e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	8.17704672136860e-02	4.11389815085309e-01	1.76984866030107e+01	7.08023086541232e-01	-1.11706742631544e-01	-4.20985058123460e+00	-4.20985058123460e+00	2.00000000000000e+01	2.00000000000000e+01	-3.94877972133925e+03	1.31394606294762e+01	6.87112302035726e+00	-6.91880191712218e+00	-7.18436000441410e-02	2.83071779729732e+00	5.89610311690143e+00	4.31998742191706e+00	2.47251860150579e+00	3.86610124952916e-01	0.00000000000000e+00	8.67977751254824e-01	4.43251006695308e+00	1.00000000000000e+00	1.53352173144206e+00	1.40518724801756e+00	1.12849707791764e+09	
6.19409874675502e-01	1.19868844805073e+00	3.11399739042262e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	2.10740283451565e-01	8.39586310579697e-01	1.80413013852256e+01	-6.11177439140958e-01	-5.36981722755913e-01	-4.14720222970345e+00	-4.14720222970345e+00	2.00000000000000e+01	2.00000000000000e+01	-3.94871707298772e+03	1.32836926999445e+01	6.94081853017127e+00	-6.23930102859382e+00	2.25204955608843e-01	3.11399739042262e+00	3.45977877002775e-01	3.03649196390875e+00	3.42323740992937e+00	1.38338935014523e+00	0.00000000000000e+00	6.39246885790930e-01	4.80423539746647e+00	1.00000000000000e+00	1.12851168081699e+00	1.80345473708996e+00	1.12849707790050e+09	
1.72217689165721e+00	1.94029815688304e+00	2.14369899452910e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	8.32248238566895e-01	5.35101292104202e-01	1.58595260970115e+01	2.38946789304076e-01	-1.11118539131513e+00	-3.63103011857402e+00	-3.63103011857402e+00	2.00000000000000e+01	2.00000000000000e+01	-3.94820090087659e+03	1.34852167795247e+01	7.13498559491406e+00	-6.23930102859382e+00	-6.21965785497056e-01	2.14369899452910e+00	1.19249793625652e+00	2.74844640110530e-01	5.79290024192900e-02	3.13788773770827e+00	0.00000000000000e+00	1.19719653490014e-01	1.79756715467407e+00	1.00000000000000e+00	1.47616570729246e+00	3.10944241275256e-01	1.12849707792966e+09	
3.03025517789015e-01	1.67497320108984e+00	2.52048855849533e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	4.38127237415118e-01	4.91362507400224e-01	1.86466237880586e+01	6.22324012021411e-01	6.50034814227487e-01	-3.25585485915781e+00	-3.25585485915781e+00	2.00000000000000e+01	2.00000000000000e+01	-3.94782572561718e+03	1.33318546107614e+01	6.81772446295625e+00	-6.60904629515490e+00	-3.15111814879590e-02	2.52048855849533e+00	4.16190027473923e+00	4.84027860799316e+00	5.71439150659402e-01	1.89113221845359e+00	0.00000000000000e+00	4.63827713596829e-01	2.54494273166139e+00	1.00000000000000e+00	2.14957004743845e+00	1.18650751292782e+00	1.12849707784825e+09	
1.55338681694158e+00	4.16859011427324e-01	4.30042387213277e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	1.64300546349590e-02	1.92232106141696e-01	2.15045484742553e+01	8.72371704847411e-01	1.34422548697893e+00	-3.13866041022357e+00	-3.13866041022357e+00	2.00000000000000e+01	2.00000000000000e+01	-3.94770853116824e+03	1.26760506972899e+01	7.42932084379830e+00	-6.23930102859382e+00	1.42036285524384e+00	4.30042387213277e+00	3.13126956845536e+00	1.10440496991607e+00	4.20379002216799e+00	2.86638786279532e+00	0.00000000000000e+00	3.51176158598720e-01	5.99318685479399e+00	1.00000000000000e+00	2.60062911287018e+00	1.83929724270816e+00	1.12849707799001e+09	
5.63308868641607e-01	1.09199353969641e-01	3.04641498766113e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	3.07033091513895e-01	5.50087868846097e-01	2.13438388553433e+01	-9.70129784419229e-01	7.64660965360465e-01	-2.93447104797679e+00	-2.93447104797679e+00	2.00000000000000e+01	2.00000000000000e+01	-3.94750434180600e+03	1.24324386941851e+01	7.28159038793361e+00	-6.94832487892895e+00	5.59953616777559e-01	3.04641498766113e+00	1.34940318723105e+00	4.35864200374784e+00	2.70171694014500e+00	1.21047636741534e+00	0.00000000000000e+00	9.22673339181075e-01	2.42788306955826e+00	1.00000000000000e+00	4.13093820760930e-01	1.79242764256042e+00	1.12849707791603e+09	
1.07043167318050e+00	-1.66155890143986e+00	2.29475969144419e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	1.96878158272671e-01	4.50191314226061e-01	1.70128330716214e+01	6.41547797437730e-01	-2.33146945397000e-02	-2.85560273216924e+00	-2.85560273216924e+00	2.00000000000000e+01	2.00000000000000e+01	-3.94742547349019e+03	1.26487376408769e+01	6.44558205555858e+00	-6.23930102859382e+00	-9.70217980822160e-02	2.29475969144419e+00	4.87353705473790e+00	5.65564505069516e+00	4.28088392989718e+00	2.45135232850851e+00	0.00000000000000e+00	8.58657866017038e-01	1.86349564951478e+00	1.00000000000000e+00	1.69192457059484e+00	1.88353807846084e+00	1.12849707786054e+09	
6.16952638110258e-01	2.40455600932503e+00	1.96493831644014e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	9.15782783342540e-02	6.22178818140430e-01	1.67372698646941e+01	-6.08514659536441e-01	-4.51140474747801e-01	-2.82813581402161e+00	-2.82813581402161e+00	2.00000000000000e+01	2.00000000000000e+01	-3.94739800657204e+03	1.40639249326313e+01	7.52694581318498e+00	-6.87115333965345e+00	-4.56830890213684e-01	1.96493831644014e+00	4.65809359518725e+00	5.75121825790066e+00	5.58480061430037e+00	2.27767181999753e+00	0.00000000000000e+00	2.68012029901647e-01	4.14269602279777e+00	1.00000000000000e+00	7.89417663448883e-01	2.49253044845184e+00	1.12849707789387e+09	
