H1_cplx_snr_amp	H1_cplx_snr_arg	H1_optimal_snr	L1_cplx_snr_amp	L1_cplx_snr_arg	L1_optimal_snr	LAL_AMPORDER	LAL_APPROXIMANT	LAL_PNORDER	SKY_FRAME	a1	a2	azimuth	mc	cosalpha	costheta_jn	dec	deltalogL	deltaloglH1	deltaloglL1	f_ref	flow	logL	logPrior	logdistance	logw	matched_filter_snr	optimal_snr	phi_orb	phi12	phi_jl	psi	psdScaleFlag	q	ra	signalModelFlag	t0	tilt1	tilt2	time	
5.60754886049335e-01	3.90396773668625e-01	2.83221914763575e+00	5.40047077315507e-01	8.04685301834193e-01	2.79848467961785e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	1.00000000000000e+00	7.28882779533971e-01	2.96584284492010e-01	5.99472214511178e+00	1.82640142456098e+01	1.15798094144405e-01	3.18624715584476e-01	-1.05842356255252e+00	-5.40995672241297e+00	-2.54204959920480e+00	-2.86790712320771e+00	2.00000000000000e+01	2.00000000000000e+01	-7.96059356360219e+03	1.37102890745199e+01	7.21582164870627e+00	-6.23930102859382e+00	6.32044057845782e-01	3.98158031468541e+00	6.04533425843682e+00	2.52979360251920e+00	5.32538569590894e+00	2.84888405708163e+00	0.00000000000000e+00	3.77745896619192e-01	3.87092316534783e+00	1.00000000000000e+00	1.12849707787737e+09	1.77499102666765e+00	2.61128890030138e+00	1.12849707785786e+09	
2.31386497785787e+00	2.07592504151368e+00	1.86123476915590e+00	1.29306894932773e+00	-9.06244777418863e-01	2.32582106369947e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	1.00000000000000e+00	2.93280984848559e-01	8.89008152865999e-01	4.01072901019353e+00	1.50141044100928e+01	4.38039519666425e-01	-7.13071566131116e-01	-1.78350323922633e-01	-4.66618057017149e+00	-3.81616990248949e+00	-8.50010667681090e-01	2.00000000000000e+01	2.00000000000000e+01	-7.95984978744993e+03	1.39846787665566e+01	7.39483499082989e+00	-7.02935470105489e+00	-7.69962062067050e-02	2.97886530179915e+00	2.29675604940432e+00	1.23320322006659e+00	6.13111219233983e-01	2.98499499745603e+00	0.00000000000000e+00	3.43531246784717e-01	4.40155999108129e-01	1.00000000000000e+00	1.12849707787424e+09	1.22558870404093e+00	2.45377716780288e+00	1.12849707788548e+09	
7.79316552878613e-01	-3.06800109663466e+00	1.68017834984554e+00	1.16647456460136e+00	2.29350372246141e+00	1.24282941012161e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	1.00000000000000e+00	3.86104134858203e-01	2.63815913042253e-01	4.02667693450718e+00	1.30320759024573e+01	-2.04748138905483e-01	-9.21628289597360e-02	1.05670166743587e-01	-4.44853520411380e+00	-2.71734639818896e+00	-1.73118880592483e+00	2.00000000000000e+01	2.00000000000000e+01	-7.95963214208389e+03	1.32350468025862e+01	6.81600499106968e+00	-6.23930102859382e+00	-1.08365858141156e+00	2.08988617631510e+00	3.51342376363962e+00	5.08044729810814e+00	5.31793589539268e+00	1.74405930442530e+00	0.00000000000000e+00	3.50649753854900e-01	6.12535716684779e+00	1.00000000000000e+00	1.12849707793632e+09	9.15800959293597e-01	8.45405437673970e-01	1.12849707795172e+09	
2.39043850551399e+00	-1.53506591877953e+00	2.17179749613067e+00	9.39201574619700e-01	-2.23480003853006e+00	1.60288062575111e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	1.00000000000000e+00	7.40253848315567e-01	1.70513808507986e-01	9.01071988763801e-01	2.09741672663272e+01	6.04063036394648e-01	1.73709576953220e-02	-2.78640940987727e-01	-4.38526604839990e+00	-2.17289550772694e+00	-2.21237054067296e+00	2.00000000000000e+01	2.00000000000000e+01	-7.95956887292818e+03	1.53076189778271e+01	7.33601830838172e+00	-6.23930102859382e+00	-2.75002956268467e-01	2.69924631417878e+00	2.51288178880326e+00	3.79407227194664e+00	4.92300892005540e+00	1.18023747010555e+00	0.00000000000000e+00	1.80950098783088e-01	2.56801642223731e+00	1.00000000000000e+00	1.12849707795049e+09	1.74327193298010e+00	2.13821558186460e+00	1.12849707793596e+09	
1.76582670003980e+00	-1.68192838625507e+00	3.31807836100402e+00	2.56760993350295e+00	-6.82426363088548e-01	2.45917107574995e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	1.00000000000000e+00	7.07748365289872e-01	2.33729559510582e-01	4.05439298358085e+00	1.81356326388055e+01	-5.50895168325480e-01	7.42599062841061e-01	2.44311913140675e-01	-4.27828765780760e+00	-6.15462209134694e+00	1.87633443353934e+00	2.00000000000000e+01	2.00000000000000e+01	-7.95946189453759e+03	1.42075852059371e+01	7.42678596828778e+00	-6.23930102859382e+00	1.02911921245581e+00	4.13003225042714e+00	2.57605321804161e+00	4.97163050091371e+00	2.96115312279039e+00	5.67653109451794e-01	0.00000000000000e+00	3.82149768803289e-01	5.76778957710581e+00	1.00000000000000e+00	1.12849707799151e+09	8.43475424152828e-01	1.12081864999709e+00	1.12849707800617e+09	
4.51376001190466e-01	1.49045804616281e+00	1.27351979331131e+00	4.05033050684237e-01	-1.68220181572958e+00	2.57911588005013e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	1.00000000000000e+00	4.98155796555253e-01	2.60911307507961e-01	5.55879854935598e+00	1.68977626871598e+01	-7.66696894094630e-01	7.76291057774340e-01	-2.20101205274235e-01	-4.20685061769655e+00	-7.64794635821090e-01	-3.44205598187591e+00	2.00000000000000e+01	2.00000000000000e+01	-7.95939045749748e+03	1.49060501948754e+01	7.02910937883935e+00	-6.23930102859382e+00	-2.43376662921840e-02	2.87640250776598e+00	5.61981106464570e+00	9.80847196497179e-01	4.85475360397763e+00	3.09148801253182e+00	0.00000000000000e+00	1.84713069549716e-01	4.76668060491479e+00	1.00000000000000e+00	1.12849707797261e+09	1.36338752554326e+00	1.76435012960891e+00	1.12849707796748e+09	
5.39504909597022e-01	-3.20056492480865e-01	4.34170833584507e-01	2.15424441246360e+00	-2.52126902854203e+00	1.66092057640774e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	1.00000000000000e+00	8.75731315200711e-01	4.51900168171669e-01	5.87763137500034e+00	1.90514511299455e+01	-9.25118539040356e-01	9.33206679408334e-01	9.87661261690500e-02	-4.16264622137714e+00	1.28090018634794e-01	-4.29073624001148e+00	2.00000000000000e+01	2.00000000000000e+01	-7.95934625310116e+03	1.49635280962265e+01	7.52168040950845e+00	-6.23930102859382e+00	-1.56638823554567e+00	1.71672987795695e+00	3.83456250390676e+00	4.59620118339569e+00	3.71444688231055e+00	3.34560729052763e-01	0.00000000000000e+00	3.03097318359791e-01	4.63170152174755e+00	1.00000000000000e+00	1.12849707800181e+09	1.76128048252302e+00	1.36602333808972e+00	1.12849707799957e+09	
9.74404229013920e-01	-9.53395782245178e-01	1.50158058198799e+00	1.26606098706092e+00	2.91000023498515e+00	1.80522792691013e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	1.00000000000000e+00	7.12658816583730e-02	1.24567762705943e-01	4.60906034107840e+00	2.12421671451212e+01	-4.92312658979070e-02	-7.05222465639461e-01	-4.73176969564268e-01	-4.13426476638415e+00	-2.80330939558553e-01	-3.85393382682605e+00	2.00000000000000e+01	2.00000000000000e+01	-7.95931787164616e+03	1.34715050466180e+01	7.40928052018477e+00	-6.23930102859382e+00	-5.86630211236445e-01	2.34810393984160e+00	3.95468850469360e+00	5.81578505089286e+00	4.78680371476400e+00	1.38809056271303e+00	0.00000000000000e+00	9.53083646642956e-01	5.97085797260285e+00	1.00000000000000e+00	1.12849707799960e+09	8.22738786588082e-01	1.47781440980349e+00	1.12849707800413e+09	
1.10194609867278e+00	2.67585086813902e+00	1.38044092779512e+00	1.08712020975848e+00	2.33095881772871e+00	1.25212717955252e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	1.00000000000000e+00	6.33053761380149e-01	5.57801891159235e-01	4.97895571592024e+00	1.69882898472157e+01	6.81879544060230e-01	-5.14886787394203e-01	-9.92061583271289e-01	-4.03379830831454e+00	-2.31195809799374e+00	-1.72184021032035e+00	2.00000000000000e+01	2.00000000000000e+01	-7.95921740518807e+03	1.42775871592694e+01	7.34344093143591e+00	-7.25921859113306e+00	-1.23252562796713e+00	1.86371661711377e+00	1.34865885807187e+00	6.21134314739136e+00	3.03276776603708e+00	1.89118383992519e+00	0.00000000000000e+00	3.68443765871629e-01	6.80236903033294e-01	1.00000000000000e+00	1.12849707783697e+09	9.48442367602455e-01	1.71276551097296e+00	1.12849707783117e+09	
5.59739756793916e-01	-2.79486550171181e+00	1.40641756921647e+00	1.54727870142363e+00	2.05281528243254e+00	1.52412527867771e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	1.00000000000000e+00	2.60315092404408e-01	8.51685313610085e-01	3.52549793061929e-01	1.33296067516051e+01	-7.68245867562550e-02	-2.09326823600894e-01	-4.38767305460888e-01	-3.98407406482420e+00	-1.72938503624255e+00	-2.25468902858120e+00	2.00000000000000e+01	2.00000000000000e+01	-7.95916768094458e+03	1.41597345758195e+01	7.31248200064526e+00	-7.05939863570820e+00	-8.84136052503230e-01	2.07387758657669e+00	3.01285352131688e+00	4.79305301834947e-01	2.09406718136437e+00	3.03239105795499e+00	0.00000000000000e+00	3.61425112427431e-01	3.50598054520412e+00	1.00000000000000e+00	1.12849707797173e+09	1.61759712297687e+00	1.17127900080612e+00	1.12849707795215e+09	
