File 	 GPStime 	 Lincoh32
posterior_L1_1127036380.99-568.hdf5	1127036380.99	5.41350142909
posterior_L1_1127061470.99-433.hdf5	1127061470.99	4.75858607139
posterior_L1_1126326860.84-331.hdf5	1126326860.84	4.51192066393
posterior_L1_1127048190.05-610.hdf5	1127048190.05	6.32886789537
posterior_L1_1126759600.57-576.hdf5	1126759600.57	7.61917612522
posterior_L1_1128171518.68-408.hdf5	1128171518.68	5.1666827091
posterior_L1_1127785576.15-570.hdf5	1127785576.15	5.3505928321
posterior_L1_1127107012.92-415.hdf5	1127107012.92	3.59234783287
posterior_L1_1127460422.0-617.hdf5	1127460422.0	3.71547374078
posterior_L1_1127621496.93-582.hdf5	1127621496.93	4.35855918556
posterior_L1_1127711242.79-377.hdf5	1127711242.79	6.74363651541
posterior_L1_1127048545.6-478.hdf5	1127048545.6	4.19254647185
posterior_L1_1128171518.69-326.hdf5	1128171518.69	3.63727584886
posterior_L1_1127708824.65-421.hdf5	1127708824.65	5.65645741822
posterior_L1_1127215863.8-448.hdf5	1127215863.8	4.81599248951
posterior_L1_1126409035.17-604.hdf5	1126409035.17	4.14786228559
posterior_L1_1127690546.59-342.hdf5	1127690546.59	6.01851451422
posterior_L1_1127477587.89-504.hdf5	1127477587.89	4.59281849024
posterior_L1_1127482452.16-362.hdf5	1127482452.16	4.09591587945
posterior_L1_1128128183.41-468.hdf5	1128128183.41	5.07966558585
posterior_L1_1128349728.33-323.hdf5	1128349728.33	4.95544158109
posterior_L1_1128673107.94-336.hdf5	1128673107.94	7.26825129721
posterior_L1_1127405363.34-523.hdf5	1127405363.34	4.2026849275
posterior_L1_1127563746.2-314.hdf5	1127563746.2	4.91734450742
posterior_L1_1127783006.16-343.hdf5	1127783006.16	8.4418932867
posterior_L1_1127737863.12-401.hdf5	1127737863.12	7.68798355062
posterior_L1_1128123332.63-502.hdf5	1128123332.63	3.52809146626
posterior_L1_1127365568.72-410.hdf5	1127365568.72	5.31226390634
posterior_L1_1128663652.48-551.hdf5	1128663652.48	5.15902900481
posterior_L1_1128171518.67-321.hdf5	1128171518.67	4.83495693097
posterior_L1_1128050418.25-614.hdf5	1128050418.25	4.32548904005
posterior_L1_1126990301.7-432.hdf5	1126990301.7	4.95806382778
posterior_L1_1127738037.11-442.hdf5	1127738037.11	5.77054559353
posterior_L1_1127211582.81-366.hdf5	1127211582.81	3.67641007913
posterior_L1_1127048512.1-574.hdf5	1127048512.1	5.07383453023
posterior_L1_1127433034.29-550.hdf5	1127433034.29	4.92857201756
posterior_L1_1128227171.02-412.hdf5	1128227171.02	5.67320993128
posterior_L1_1126801225.46-598.hdf5	1126801225.46	6.75431592162
posterior_L1_1128658598.19-613.hdf5	1128658598.19	7.676663782
posterior_L1_1127608000.89-437.hdf5	1127608000.89	5.09188098325
posterior_L1_1127376114.99-491.hdf5	1127376114.99	4.55788738848
posterior_L1_1127523212.58-619.hdf5	1127523212.58	5.95738075985
posterior_L1_1128755861.57-382.hdf5	1128755861.57	8.17829953411
posterior_L1_1127707470.88-600.hdf5	1127707470.88	4.76145489197
posterior_L1_1127514561.97-526.hdf5	1127514561.97	4.86939723526
posterior_L1_1128670114.12-475.hdf5	1128670114.12	6.89478598477
posterior_L1_1128755912.91-404.hdf5	1128755912.91	7.93442336455
posterior_L1_1126768359.74-585.hdf5	1126768359.74	4.98107943035
posterior_L1_1127394653.64-411.hdf5	1127394653.64	5.37629329642
posterior_L1_1127239497.14-597.hdf5	1127239497.14	4.86092834907
posterior_L1_1127181965.06-595.hdf5	1127181965.06	4.91408138653
posterior_L1_1127009244.39-467.hdf5	1127009244.39	4.42364468763
posterior_L1_1129347653.96-506.hdf5	1129347653.96	6.18580864262
posterior_L1_1127563066.44-543.hdf5	1127563066.44	5.03466465668
posterior_L1_1127557023.8-584.hdf5	1127557023.8	6.28001704175
posterior_L1_1127004140.55-623.hdf5	1127004140.55	5.64036053256
posterior_L1_1128633103.76-557.hdf5	1128633103.76	12.1200095342
posterior_L1_1128693014.48-456.hdf5	1128693014.48	7.00799520069
posterior_L1_1129047221.4-490.hdf5	1129047221.4	6.84897342567
posterior_L1_1127611737.76-450.hdf5	1127611737.76	7.59137838775
posterior_L1_1127407387.5-391.hdf5	1127407387.5	8.53258277392
posterior_L1_1129249120.03-601.hdf5	1129249120.03	8.13869655799
posterior_L1_1126644888.8-498.hdf5	1126644888.8	7.32897416656
posterior_L1_1127734024.76-513.hdf5	1127734024.76	6.19604847178
posterior_L1_1127733689.3-541.hdf5	1127733689.3	7.13544190635
posterior_L1_1128116556.94-372.hdf5	1128116556.94	6.61464703183
posterior_L1_1128656678.41-583.hdf5	1128656678.41	7.12904849435
posterior_L1_1126999148.36-350.hdf5	1126999148.36	5.79084621418
posterior_L1_1127193911.72-445.hdf5	1127193911.72	5.61525205074
posterior_L1_1127620166.41-548.hdf5	1127620166.41	6.90594466671
posterior_L1_1129043244.3-455.hdf5	1129043244.3	5.96530739492
posterior_L1_1127514516.08-471.hdf5	1127514516.08	6.39280579369
posterior_L1_1127555078.79-618.hdf5	1127555078.79	6.00153114663
posterior_L1_1127254296.83-425.hdf5	1127254296.83	6.77399199221
posterior_L1_1128248527.11-519.hdf5	1128248527.11	7.33780422982
posterior_L1_1128340483.07-536.hdf5	1128340483.07	7.1886037435
posterior_L1_1128457175.84-402.hdf5	1128457175.84	7.13834695273
posterior_L1_1128630031.13-549.hdf5	1128630031.13	7.12010923382
posterior_L1_1128168660.77-554.hdf5	1128168660.77	6.11419178864
posterior_L1_1128692057.64-556.hdf5	1128692057.64	6.82453645598
posterior_L1_1128294478.68-324.hdf5	1128294478.68	6.37638939276
posterior_L1_1126672284.98-530.hdf5	1126672284.98	6.68131244173
posterior_L1_1126571737.05-483.hdf5	1126571737.05	6.08189335408
posterior_L1_1128256099.44-440.hdf5	1128256099.44	8.68803869725
posterior_L1_1128703355.55-479.hdf5	1128703355.55	6.33969476295
posterior_L1_1127787846.61-439.hdf5	1127787846.61	7.27832954738
posterior_L1_1126626280.25-428.hdf5	1126626280.25	8.47219359402
posterior_L1_1127652973.03-398.hdf5	1127652973.03	6.49485652695
posterior_L1_1127536358.64-333.hdf5	1127536358.64	5.6679750781
posterior_L1_1126652504.18-581.hdf5	1126652504.18	8.57338175109
