File 	 GPStime 	 Hincoh32
posterior_H1_1128932085.61-427.hdf5	1128932085.61	2.73902993695
posterior_H1_1127620166.41-548.hdf5	1127620166.41	5.8793006473
posterior_H1_1127389906.76-419.hdf5	1127389906.76	5.80010773469
posterior_H1_1128761463.65-405.hdf5	1128761463.65	5.05059298523
posterior_H1_1128872711.5-388.hdf5	1128872711.5	5.2777433927
posterior_H1_1126562421.57-360.hdf5	1126562421.57	6.04624254983
posterior_H1_1129105774.02-389.hdf5	1129105774.02	6.48306429735
posterior_H1_1128916526.36-561.hdf5	1128916526.36	6.69019010741
posterior_H1_1128657636.54-539.hdf5	1128657636.54	7.15533350477
posterior_H1_1128285690.76-488.hdf5	1128285690.76	5.18481953529
posterior_H1_1126409035.17-604.hdf5	1126409035.17	4.96987068179
posterior_H1_1127640626.8-330.hdf5	1127640626.8	7.30619608007
posterior_H1_1128989188.46-344.hdf5	1128989188.46	6.87641343002
posterior_H1_1129067990.67-387.hdf5	1129067990.67	6.92893725508
posterior_H1_1127711242.79-377.hdf5	1127711242.79	7.07578611141
posterior_H1_1126796497.07-392.hdf5	1126796497.07	6.14710372562
posterior_H1_1126574261.37-320.hdf5	1126574261.37	6.05704951575
posterior_H1_1127187088.53-381.hdf5	1127187088.53	6.19633647324
posterior_H1_1126742304.84-374.hdf5	1126742304.84	6.40193008499
posterior_H1_1128483728.58-364.hdf5	1128483728.58	5.77778145939
posterior_H1_1129333578.26-378.hdf5	1129333578.26	6.18551402991
posterior_H1_1127536358.64-333.hdf5	1127536358.64	7.58676669047
posterior_H1_1127789138.97-352.hdf5	1127789138.97	6.35667692367
posterior_H1_1126910878.97-399.hdf5	1126910878.97	6.47570676512
posterior_H1_1126655016.69-354.hdf5	1126655016.69	6.73363613732
posterior_H1_1127181965.06-595.hdf5	1127181965.06	4.84202559072
posterior_H1_1127407387.5-391.hdf5	1127407387.5	6.4967381239
posterior_H1_1126999148.36-350.hdf5	1126999148.36	5.14646417572
posterior_H1_1127193911.72-445.hdf5	1127193911.72	6.95662846783
posterior_H1_1128168660.77-554.hdf5	1128168660.77	5.56653389516
posterior_H1_1127044136.03-588.hdf5	1127044136.03	5.63085069923
posterior_H1_1128656310.42-400.hdf5	1128656310.42	7.51282975952
posterior_H1_1128821272.83-327.hdf5	1128821272.83	6.6600106452
posterior_H1_1129347653.96-506.hdf5	1129347653.96	4.83778036269
posterior_H1_1129082162.57-590.hdf5	1129082162.57	5.3747897692
posterior_H1_1127652973.03-398.hdf5	1127652973.03	7.75559025656
posterior_H1_1128757091.07-348.hdf5	1128757091.07	4.56208942448
posterior_H1_1128248527.11-519.hdf5	1128248527.11	5.31174710694
posterior_H1_1128814949.48-599.hdf5	1128814949.48	4.53423576441
posterior_H1_1128227171.02-412.hdf5	1128227171.02	4.71770512885
posterior_H1_1127620092.28-357.hdf5	1127620092.28	6.17833460005
posterior_H1_1126768359.74-585.hdf5	1126768359.74	5.24362445337
posterior_H1_1129077080.87-593.hdf5	1129077080.87	5.50706098407
posterior_H1_1128338512.08-353.hdf5	1128338512.08	7.7023023562
posterior_H1_1126770128.88-385.hdf5	1126770128.88	8.30032258303
posterior_H1_1129040988.14-383.hdf5	1129040988.14	7.12443860597
posterior_H1_1127990409.96-606.hdf5	1127990409.96	7.46949727457
posterior_H1_1127737863.12-401.hdf5	1127737863.12	7.80467906709
posterior_H1_1128121760.76-358.hdf5	1128121760.76	7.13590924645
posterior_H1_1127433122.83-499.hdf5	1127433122.83	5.18495451495
posterior_H1_1127188687.82-527.hdf5	1127188687.82	4.18456305848
posterior_H1_1127666650.08-332.hdf5	1127666650.08	4.56205501361
posterior_H1_1127690546.59-342.hdf5	1127690546.59	6.52373122575
posterior_H1_1127999992.18-375.hdf5	1127999992.18	4.82756319586
posterior_H1_1127738037.11-442.hdf5	1127738037.11	5.88720667063
posterior_H1_1126571737.05-483.hdf5	1126571737.05	6.29349871473
posterior_H1_1127033331.87-564.hdf5	1127033331.87	6.61837680586
posterior_H1_1128503871.17-579.hdf5	1128503871.17	4.91263284673
posterior_H1_1126627903.68-406.hdf5	1126627903.68	4.6174288483
posterior_H1_1128134270.18-532.hdf5	1128134270.18	6.64820129722
posterior_H1_1127613184.2-621.hdf5	1127613184.2	5.97254942297
posterior_H1_1128485640.4-500.hdf5	1128485640.4	4.83671205169
posterior_H1_1126559715.17-376.hdf5	1126559715.17	7.83551932321
posterior_H1_1127202366.25-518.hdf5	1127202366.25	4.77373996824
posterior_H1_1128658598.19-613.hdf5	1128658598.19	5.85844934249
posterior_H1_1127100483.06-594.hdf5	1127100483.06	4.41185487316
posterior_H1_1127197078.86-466.hdf5	1127197078.86	6.35468363396
posterior_H1_1127696899.77-403.hdf5	1127696899.77	5.25253020474
posterior_H1_1128991246.34-438.hdf5	1128991246.34	5.93410523543
posterior_H1_1129069137.67-605.hdf5	1129069137.67	4.00984468506
posterior_H1_1127482452.16-362.hdf5	1127482452.16	6.63700146613
posterior_H1_1128656678.41-583.hdf5	1128656678.41	8.59213266433
posterior_H1_1128169326.19-580.hdf5	1128169326.19	5.35327136779
posterior_H1_1128415542.2-602.hdf5	1128415542.2	5.52297090867
posterior_H1_1127240358.58-524.hdf5	1127240358.58	6.05452501899
posterior_H1_1126109425.59-609.hdf5	1126109425.59	6.31289002578
posterior_H1_1127262287.96-393.hdf5	1127262287.96	6.17106019108
posterior_H1_1128218515.88-522.hdf5	1128218515.88	7.19868843095
posterior_H1_1126811046.44-469.hdf5	1126811046.44	5.66019852329
posterior_H1_1126955590.62-380.hdf5	1126955590.62	6.07797188557
posterior_H1_1128494673.06-569.hdf5	1128494673.06	5.51751525769
posterior_H1_1128446724.75-424.hdf5	1128446724.75	5.14413333485
posterior_H1_1128118929.13-451.hdf5	1128118929.13	5.21775515322
posterior_H1_1126660463.48-507.hdf5	1126660463.48	6.2341956744
posterior_H1_1127555078.79-618.hdf5	1127555078.79	5.76296434681
posterior_H1_1126652504.18-581.hdf5	1126652504.18	5.10124006168
posterior_H1_1127651778.66-379.hdf5	1127651778.66	8.13724962012
posterior_H1_1126759600.57-576.hdf5	1126759600.57	5.54341444431
posterior_H1_1127004140.55-623.hdf5	1127004140.55	6.63072425942
posterior_H1_1128666220.78-575.hdf5	1128666220.78	6.85699475105
posterior_H1_1128250977.33-476.hdf5	1128250977.33	6.23471662594
posterior_H1_1128273239.03-562.hdf5	1128273239.03	7.09540459095
posterior_H1_1126326860.84-331.hdf5	1126326860.84	5.61309021643
posterior_H1_1128758349.11-508.hdf5	1128758349.11	7.91561620926
posterior_H1_1128454185.2-565.hdf5	1128454185.2	5.82316005041
posterior_H1_1127002734.67-394.hdf5	1127002734.67	8.59380514677
posterior_H1_1128250583.68-458.hdf5	1128250583.68	6.77289109466
posterior_H1_1128814300.66-347.hdf5	1128814300.66	7.2362166321
posterior_H1_1128681523.31-544.hdf5	1128681523.31	7.46908705001
posterior_H1_1127010131.28-494.hdf5	1127010131.28	5.90759530407
posterior_H1_1127433034.29-550.hdf5	1127433034.29	6.91950217785
posterior_H1_1128223407.57-338.hdf5	1128223407.57	6.81038456966
posterior_H1_1127647114.66-473.hdf5	1127647114.66	5.80405781452
posterior_H1_1127270292.37-616.hdf5	1127270292.37	7.49277841109
posterior_H1_1128636846.88-423.hdf5	1128636846.88	7.6040082185
posterior_H1_1128229543.99-578.hdf5	1128229543.99	7.24207300808
posterior_H1_1128479412.37-503.hdf5	1128479412.37	7.50862261034
posterior_H1_1128740991.91-538.hdf5	1128740991.91	6.76085240458
posterior_H1_1128755861.57-382.hdf5	1128755861.57	11.3793987593
posterior_H1_1128624004.9-620.hdf5	1128624004.9	6.59455233043
posterior_H1_1127734024.76-513.hdf5	1127734024.76	7.59405336223
posterior_H1_1127512704.75-426.hdf5	1127512704.75	6.99861957639
posterior_H1_1127708824.65-421.hdf5	1127708824.65	6.99016092028
posterior_H1_1127434694.13-434.hdf5	1127434694.13	9.43887928606
posterior_H1_1128168603.81-591.hdf5	1128168603.81	7.46232845129
posterior_H1_1128755290.98-418.hdf5	1128755290.98	8.0332789188
posterior_H1_1128050418.25-614.hdf5	1128050418.25	6.01847237662
posterior_H1_1127254296.83-425.hdf5	1127254296.83	8.06217103485
posterior_H1_1129047221.4-490.hdf5	1129047221.4	7.1307355773
posterior_H1_1127523212.58-619.hdf5	1127523212.58	8.39724043871
posterior_H1_1126910950.71-607.hdf5	1126910950.71	7.19403838499
posterior_H1_1127460422.0-617.hdf5	1127460422.0	5.60846111058
posterior_H1_1127203274.53-531.hdf5	1127203274.53	6.78593156153
posterior_H1_1128393840.67-435.hdf5	1128393840.67	7.23701791662
posterior_H1_1127557023.8-584.hdf5	1127557023.8	7.82381241367
posterior_H1_1127621496.93-582.hdf5	1127621496.93	6.76607697147
posterior_H1_1128954745.38-547.hdf5	1128954745.38	8.04579374133
posterior_H1_1126568900.3-586.hdf5	1126568900.3	4.99141348101
posterior_H1_1127038542.12-316.hdf5	1127038542.12	7.14068111899
