realGPS_sampled	lnL_sampled	far_sampled	snr_sampled
1127623939.847713	4.657244141	0.000658138	8.345272703309982
1129340652.502212	4.657519975	0.0006579379999999999	8.013930418768672
1126570838.693036	4.660599789	0.000655711	7.920735594484838
1128067755.968896	4.66342015	0.000653673	7.649337988608793
1128478579.216726	4.665654382	0.000652059	7.863538668099941
1127701100.561447	4.671692748	0.0006477	8.138845758858233
1128158434.976485	4.672695938	0.000646976	7.987668191362014
1128273249.410725	4.675941457	0.000644636	8.362233761957611
1127047540.22631	4.678753887	0.000642609	7.928811236101166
1127705469.174116	4.685499482	0.000637751	7.869577807897355
1127645126.926075	4.688526624	0.000635574	7.671779319602603
1128944551.68248	4.689026303	0.000635214	7.290928730691218
1126602230.751326	4.691652752	0.000633326	7.846825570812215
1129218218.873482	4.692252262	0.000632895	8.205161198636919
1126329529.297798	4.694761013	0.000631092	8.946941296745825
1127236794.194747	4.696158722	0.000630088	8.816446568827843
1128682849.732483	4.703842775	0.000624572	7.721575591802868
1127433105.124997	4.706608552	0.000622589	7.791582143069069
1127427773.850108	4.710067039	0.00062011	8.719565255760843
1127339198.709983	4.713907184	0.00061736	8.146343109501508
1127701108.852284	4.717028197	0.000615126	8.377331600165439
1127028386.979792	4.719617178	0.000613274	7.974666654950289
1126407102.467218	4.721649673	0.00061182	8.148453913544532
1128004243.745956	4.725439852	0.000609111	8.750359227225518
1128819529.705683	4.728827411	0.000606691	7.933445877469641
1127063559.289204	4.731177569	0.000605014	7.793169990980651
1128948011.526463	4.733046315	0.00060368	8.19381117012181
1126402768.683651	4.735458906	0.000602083	8.09617547328024
1128673082.625397	4.739212453	0.000599678	8.578115415132148
1127394033.658601	4.741395973	0.00059828	7.983619227395007
1128120956.20569	4.744046456	0.000596583	7.605072766150207
1127646378.144695	4.745985141	0.000595342	7.532941284420247
1128153785.684912	4.747361505	0.000594462	7.42515596313247
1128138904.570425	4.754378148	0.000589975	7.872404439017592
1128070331.629133	4.756874515	0.00058838	8.145592980092035
1127100272.748405	4.758722187	0.0005872	7.461941887284382
1128296307.471179	4.764889421	0.000583264	7.980033861690766
1127444528.33239	4.770271716	0.000579832	7.757377547573904
1128153461.842282	4.773044901	0.000578065	8.014564128481135
1128067177.972957	4.774192851	0.000577333	8.111699413587184
1127981444.235664	4.776487265	0.000575872	8.082186037707197
1129338418.647445	4.778263054	0.000574741	7.963944540772831
1128396288.384466	4.780801667	0.000573126	7.869052818174256
1128650404.905829	4.783056052	0.000571691	7.222948748797655
1127796700.888206	4.784201191	0.000570963	7.783441866984489
1127433135.850567	4.787070215	0.000569139	8.279156826480691
1128119031.932932	4.789566993	0.000567552	7.152605870805831
1127563716.681272	4.791621765	0.000566246	7.821216578732816
1127119075.73623	4.792712081	0.000565554	7.971230014246692
1127435557.266861	4.7985791	0.000561829	7.948895676429913
1129291761.29575	4.799808347	0.000561049	7.998873478509574
1128165755.362101	4.804544905	0.000558045	8.828134294297188
1128691325.728164	4.806975287	0.000556505	7.908885998147378
1128989906.311143	4.808954546	0.000555251	7.701488244851657
1128903470.121758	4.814543191	0.000551712	8.036713781915843
1126322958.610608	4.823838458	0.000545833	7.469947050037102
1128136842.434885	4.827508241	0.0005435149999999999	7.846520296999951
1128048444.833446	4.830429137	0.00054167	7.922198254497297
1128631653.557726	4.833737287	0.000539582	8.016069465813905
1127736434.727491	4.835065374	0.000538744	8.271876323905399
1128281050.588175	4.840621237	0.000535241	7.994491488499611
1127198571.693705	4.843573916	0.00053338	8.136981342881608
1128058282.785734	4.847670621	0.000530921	8.085799193331139
1126561976.687629	4.852101825	0.000528419	8.06642579678979
1127356809.88744	4.854049343	0.00052732	8.67698322305607
1126592376.573751	4.860640976	0.000523603	7.728576003059161
1127429346.24513	4.8656419	0.000520784	8.221761673928189
1127554632.365819	4.868094133	0.000519403	7.892105480330827
1129381251.894855	4.869731184	0.000518481	8.283157505553497
1127655099.170061	4.872053132	0.000517174	8.015795097621075
1127037224.266692	4.872848439	0.000516727	8.073443194350547
1127700722.530811	4.874874196	0.000515587	8.366067485681604
1127738828.189948	4.878971288	0.000513282	8.198684604920896
1128005971.805768	4.883577717	0.000510693	7.947924025907325
1128432583.144365	4.887574518	0.000508448	7.697050362352542
1127785740.943271	4.895837157	0.00050381	8.184471730168493
1126889076.290305	4.900512586	0.000501188	7.394579227718144
1128478166.34604	4.904793791	0.000498789	7.852893651754942
1127993244.290675	4.907027372	0.000497538	8.194371107364047
1127738553.757659	4.910311493	0.0004956990000000001	7.602640820998941
1126106986.193793	4.913159656	0.000494105	8.147010285198057
1127018579.260375	4.91796357	0.000491417	7.914169477634267
1128761295.24892	4.920977584	0.000489732	7.787616295193524
1128493039.446823	4.922719883	0.000488759	8.080441715111222
1127624863.964243	4.9259806	0.000486937	8.133879479491871
1129245022.922962	4.92820171	0.000485696	7.839265564388361
1126329774.473347	4.93325097	0.000482878	8.464901193239898
1127105807.147002	4.934263426	0.000482313	7.94708229709255
1128931837.126941	4.937244218	0.00048065	7.698324392935868
1127795681.587381	4.938569276	0.000479911	7.915535536283688
1128906202.617912	4.944644758	0.000476525	7.779058826422387
1128001108.215051	4.950046427	0.000473516	7.883493069674612
1127040296.825326	4.951142319	0.000472906	7.856685902827764
1128654209.31372	4.952589591	0.000472101	7.847936362175346
1126402899.156988	4.957130107	0.000469575	8.072733216299502
1128744515.914471	4.958518294	0.00046886	7.745748802908447
1128141359.697753	4.962923804	0.000466667	7.938022701230453
1127070569.711698	4.966998787	0.000464639	7.912507699915274
1127658794.692159	4.971108333	0.000462595	8.264549109016981
1127109407.339272	4.97419	0.000461063	7.871974151121932
1127477711.196701	4.97639454	0.000459968	7.977524292343213
1126329688.991159	4.980670294	0.000457844	8.736262299506878
1128666485.266402	4.982963713	0.000456705	8.003203491977208
1127214601.228793	4.98735575	0.000454525	7.939198631817336
1127195398.523365	4.990342526	0.000453043	8.287109125448559
1127618552.267859	4.99112803	0.000452654	7.971821638235165
1128773628.179314	4.991960163	0.000452241	7.893139466846122
1126417804.749145	4.9954433	0.000450514	7.75816471476641
1128227864.742956	4.998602509	0.000448948	8.089591566444915
1127027615.764838	5.007475854	0.000444554	8.225634761632644
1127253812.259783	5.010301365	0.000443156	8.026540988810117
1126962181.424338	5.016530587	0.000440075	8.003626597223384
1129077550.675156	5.020319789	0.000438202	7.961492721987155
1127179486.453373	5.024384576	0.000436193	8.137409323985889
1127261074.837265	5.025912364	0.000435439	7.953984979941836
1127056291.277499	5.033312145	0.000431786	7.846653566183539
1128212251.126059	5.036311789	0.000430307	8.1051712601086
1128688020.819431	5.039214215	0.000428875	7.674685043690562
1128761564.34577	5.040537431	0.000428223	8.2725345456798
1128043250.862765	5.045175791	0.000425937	8.187941499348335
1127991784.244326	5.051178973	0.000422981	8.2927756014855
1126687409.78018	5.055993884	0.000420611	8.25929371447395
1129252095.39495	5.057273388	0.000419982	8.403870966393523
1128278591.785614	5.060733352	0.00041828	7.708807281906025
1126402526.213465	5.065377233	0.000415997	8.518714426439168
1128342257.107283	5.066601874	0.000415395	7.885095909926535
1128256563.610827	5.069809975	0.000413865	8.332912477087161
1127426240.60477	5.073412702	0.000412283	8.10478677820015
1127270194.559905	5.076801608	0.000410795	8.097617238170825
1127694153.436342	5.081214958	0.000408858	7.987469233921304
1128441474.350408	5.087241709	0.000406215	8.140089202760905
1127202079.68582	5.096477148	0.000402167	7.482784020093143
1127106985.991729	5.102763343	0.000399415	8.362412696591891
1128247046.485062	5.105824775	0.000398075	7.818214776567887
1127650790.175182	5.107706884	0.000397252	7.983909925497618
1128256141.519171	5.113542322	0.0003947	8.048247525972835
1126873351.22861	5.119576201	0.000392062	8.14038797173392
1127179370.381424	5.123137476	0.000390507	8.063167364953308
1126803643.132626	5.131670643	0.000386782	8.084964006779014
1128257269.36197	5.137355091	0.000384302	7.749307229958643
1127713666.616736	5.140034106	0.000383134	7.861449939755065
1127015176.969093	5.141711063	0.000382403	7.820455749128183
1127022205.177838	5.145803161	0.00038062	8.045559795510854
1126957064.309004	5.154427648	0.000376865	8.188403496374638
1128991134.266833	5.157707563	0.000375437	8.038533659338826
1128672826.194238	5.160489608	0.000374227	7.998551616195439
1126302999.25992	5.163571223	0.000372887	8.121474990824694
1129331056.551688	5.166594624	0.000371572	8.458623814922124
