GPStime 	 HCoh64	 LCoh64
1129251773.02	5.35665592385	4.92484773916
1127783006.16	5.9319495095	6.00737203559
1128256099.44	7.63109053536	6.85897823096
1128250977.33	6.84259624521	5.90572775527
1126955590.62	5.98741463127	3.89185253733
1127460422.0	6.66722094722	4.33222154663
1126409035.17	5.75263924229	5.5785103947
1128933299.79	5.96311247109	10.1153076142
1126999148.36	6.03638006557	5.06993894793
1127433122.83	5.84352973343	6.79279298081
1127048545.6	5.12860028966	4.4758308058
1128044136.39	6.18833742037	6.80310238578
1129067990.67	5.96374559275	6.59062679666
1126801225.46	7.35028817434	5.44836240619
1127061470.99	5.99759765012	5.2514250911
1126768359.74	5.07079476677	5.69429036955
1127181965.06	5.12719577526	4.11973896076
1126644888.8	7.22584882145	5.97884749821
1128740991.91	8.19001246605	9.23348975829
1127477587.89	6.75359256339	4.77200127061
1126759600.57	5.72044415429	4.91517241459
1128343287.36	7.03599783049	6.89772868641
1127033331.87	6.71350023502	5.74024222598
1127261423.39	6.52216161463	8.20075944326
1128050418.25	7.34808416282	6.05415728279
1128656310.42	8.3711546714	9.76304024723
1128947771.55	7.63603483494	8.09460719785
1127050603.11	6.41301949639	4.9775635825
1129040988.14	8.3404191053	9.70691689802
1128148413.1	8.55556192044	7.4854080186
1126759521.57	7.64796152918	8.14833149309
1128168660.77	4.97010449273	5.11303492511
1128227171.02	6.02521159842	5.11771607389
1127259176.72	7.26500304683	7.19678158838
1129047221.4	6.20029339616	7.61639204928
1126988387.91	6.41649398788	6.16173655967
1128129991.22	6.68452133663	6.75518431149
1126566977.35	5.80807449466	4.33398817491
1127197078.86	6.44970885748	6.3839432031
1128430997.75	5.9519201627	5.58889811178
1128693014.48	8.02418616024	6.93283166747
1127738037.11	6.90947743782	5.66941968478
1128419868.36	6.55805951531	9.49469769095
1128932085.61	4.28803133666	9.8389251631
1127523212.58	7.63594944525	7.42452072642
1127004140.55	6.64349640348	5.79092866472
1128663652.48	9.73162495305	8.10747834982
1127514561.97	9.2569649946	6.51518368996
1128171518.67	9.73953103338	6.77576610761
1126659549.62	6.56522702551	6.59691915856
1127239888.6	4.94419676225	5.6745192913
1127734024.76	6.60823687857	6.58117638518
1127010131.28	6.89997066883	6.64800131557
1128128183.41	4.97612044217	5.01871054033
1127365568.72	4.57315618499	5.18984760369
1127787846.61	6.41536575777	8.17567347785
1126562421.57	7.15020088452	8.62432098061
1126655016.69	7.69103923672	10.8664919597
1127215863.8	4.84222280486	4.77772495052
1127611737.76	8.68638863121	10.1025367207
1129117794.69	5.89388005612	4.61133280233
1127193911.72	6.0315296538	4.67073226199
1127608000.89	9.7047228097	8.43228176833
