GPStime 	 Hincoh64
1128933299.79	5.22395807728
1128932085.61	2.71948376991
1127394653.64	7.19259814022
1129105774.02	5.79768482197
1126955590.62	6.84013781951
1129082162.57	3.10269136816
1127188687.82	5.64917208382
1128998665.83	6.07881570115
1128814949.48	4.35956476897
1126999148.36	5.66839266677
1126562421.57	5.23983881083
1128250583.68	7.89435923882
1127718903.33	3.37735554928
1127783006.16	6.88185134345
1127999992.18	7.13128045159
1127787846.61	4.72501619292
1128688216.65	9.25441156773
1127002734.67	5.20861982906
1126409035.17	4.47592404253
1128403798.24	6.54433815051
1127239888.6	5.31186719231
1128121760.76	7.91036780833
1128503871.17	7.67740889725
1127365568.72	6.35876371072
1127737863.12	9.42581233583
1128134491.19	8.39086298015
1129077080.87	5.99368716299
1129080224.54	6.20852179842
1127433122.83	5.48886164921
1127627590.64	6.5893425415
1127389906.76	6.01749915887
1127620166.41	5.34850919591
1127512704.75	8.62044123987
1126796497.07	5.73336648915
1129074352.51	5.36076545703
1128658598.19	6.24614939058
1127460422.0	8.15979726409
1127100483.06	6.40537110638
1126660463.48	5.97173323597
1128050418.25	4.39367237621
1128227171.02	6.74626343984
1126403558.96	4.96831478778
1128991246.34	5.32210582748
1127048545.6	6.44377779703
1129347653.96	4.95396524826
1128248527.11	4.01827381629
1127211582.81	8.1208640051
1128656310.42	8.89061845461
1128393840.67	6.5257264022
1128128183.41	7.14899723919
1129067990.67	5.875773369
1126768359.74	5.70461864898
1126074827.15	5.23591626928
1128752538.75	5.86815378536
1128995282.66	6.53298851563
1128343287.36	5.45433482503
1126672284.98	5.23885850182
1128737615.34	6.83732679781
1128430997.75	6.7209726981
1128229543.99	4.40454579604
1129069137.67	5.31715558862
1127050603.11	5.98595043342
1126742304.84	6.71094890039
1127708824.65	8.08276826423
1128483728.58	5.10343598521
1128426411.13	6.0749868773
1126566977.35	6.08878720728
1128814300.66	8.51541595763
1126257549.25	6.69779022754
1128755861.57	11.9799146213
1127197078.86	6.60332419576
1127555078.79	6.79855729054
1127699133.26	6.25555570278
1127193911.72	6.13508493693
1129040988.14	7.27248360057
1128415542.2	5.71745771912
1127181965.06	6.3426639345
1128762891.24	8.80921188822
1128454185.2	4.18291645789
1128169326.19	5.83407707725
1128627448.9	6.41822070012
1127613184.2	6.56749750241
1126759521.57	6.78988964546
1126627903.68	5.87737221667
1127482452.16	9.60041920288
1128129991.22	5.75749671992
1127557023.8	9.14131402488
1127044136.03	7.66693191037
1129047221.4	7.426964275
1128430632.89	7.07761865125
1128118929.13	7.49978764152
1126759600.57	6.30668932053
1128947771.55	5.60585885949
1128989188.46	5.89131163516
1127220379.28	8.46336090583
1127514516.08	9.91618636796
1128681523.31	6.34770885629
1127711242.79	8.47619748791
1128168660.77	7.01268637759
1127696899.77	5.8880541995
1128761463.65	6.03419012997
1127734024.76	6.80155116189
1128934599.22	5.91456296736
1126652504.18	6.67188461032
1127033331.87	6.39996416233
1128757091.07	6.92595732862
