GPStime 	 Lincoh8
1127523212.58	5.33830493854
1126801225.46	5.68953900799
1127613214.24	4.27858190936
1128663652.48	6.57435350647
1127048545.6	4.56491686438
1128169326.19	6.23272831802
1127061470.99	4.37952360017
1126326860.84	4.30771456077
1126409035.17	4.53127869072
1127215863.8	3.61225864716
1127036380.99	4.50766501562
1127707470.88	4.25857568489
1127563746.2	4.07244099518
1127048190.05	5.04803833649
1127563066.44	4.70152673266
1127708824.65	4.94920502013
1128934599.22	6.06037756118
1127239497.14	6.47808531623
1126955590.62	5.0343029842
1127107012.92	5.04227540059
1127477587.89	5.36539788266
1127253716.57	5.76185778869
1127045881.25	4.68496921191
1127621496.93	5.34984397144
1127785576.15	4.96645171395
1127711242.79	5.51839135065
1127050603.11	5.40994826495
1128250977.33	6.87904599479
1128349728.33	5.2519678053
1127651908.96	5.71743987198
1126768359.74	4.82800657635
1126566977.35	4.84312466494
1127514561.97	4.72021514211
1127690546.59	5.0435128283
1128652618.37	5.89498331266
1127433122.83	5.76864526434
1128627448.9	6.16910058339
1128051935.27	4.88453852706
1126626280.25	5.19930166078
1127376114.99	5.7520325841
1127211582.81	7.26972539975
1127048512.1	4.92083808062
1129347653.96	5.88243168303
1128118929.13	3.73281369728
1128128183.41	6.27327901923
1127433034.29	6.29812131773
1128227171.02	6.48227728378
1127365568.72	5.05705846479
1128656678.41	6.3243313503
1128134270.18	5.02085193665
1127482452.16	4.06645572723
1128218515.88	5.50811821213
1128123332.63	4.97876078415
1126910950.71	7.30823601316
1128168660.77	5.11000032291
1127514516.08	4.30937826486
1127181965.06	5.35687709792
1128057894.95	6.28494841433
1128670114.12	5.31674596965
1127608000.89	5.12117645019
1127203274.53	5.89162905632
1127787846.61	6.82966225449
1129047221.4	8.0706274906
1128703355.55	6.68742934718
1128682542.16	6.60423971336
1128762891.24	7.94143224027
1128916526.36	6.70987444142
1128814300.66	6.62089165786
1127239888.6	6.99725986221
1127564634.87	9.4378158729
1127620166.41	7.31435375305
1126660463.48	6.83159392635
1126770128.88	8.48887793599
1127107012.93	7.54053094009
1128761572.64	7.38173092098
1128340483.07	7.45336003253
1127999992.18	8.04950416622
1128947771.55	8.44294088436
1128273386.61	7.6410390145
1127187088.53	7.3812912563
1127783006.16	8.7048104521
1126109425.59	7.80851630142
1128230000.75	8.33502344015
1129040988.14	8.28644477513
1128740991.91	6.93450304275
1127002734.67	8.87625526425
1129067990.67	7.91144082554
1127434682.83	7.37978909554
1128250583.68	7.8846074853
1128392318.28	5.65168730798
1128761243.95	6.77133181217
1127625972.1	8.2279349816
1127990409.96	10.4908326309
1127072188.19	7.09921493485
1127666650.08	11.1413384419
1128761443.57	7.82028090633
1128148413.1	8.1248283893
1128814670.87	9.18884814645
1128657044.22	6.68188917858
1128991246.34	6.56334467414
1127183208.07	9.75078474918
1127512704.75	8.85697711897
1127699470.58	8.5955598211
1128223407.57	9.61179367545
1128129991.22	8.38906773653
1127407387.5	7.51774220808
1127699133.26	9.58046967696
1128121760.76	9.74604528638
1126627775.49	10.4378224609
1129333578.26	9.83814215973
1127789138.97	9.56252985251
1128932085.61	7.35498275502
1127202366.25	9.02167723487
1126574261.37	9.67253234929
1128872711.5	10.289468419
1129070227.86	8.70389723003
1128481003.16	9.77725241788
1127627590.64	9.81250484136
1126690215.06	10.3533741476
1126257549.25	10.2114545859
1127795327.13	7.35654412035
1128338512.08	9.6002516616
1126742304.84	9.946452373
1128954745.38	7.87957100399
1128910873.35	7.30657541826
1126571737.05	7.46779249208
1127652973.03	5.85730670136
1127169666.27	9.95689506545
1128116556.94	7.43065816904
1127370445.59	7.6475697003
1126562421.57	7.78817232062
1129069137.67	7.83513364848
1129117794.69	7.20622519859
1128134491.19	6.5889936065
1128943896.58	8.36843139958
1127038542.12	8.40411212503
1128430997.75	6.3094495462
1128950294.18	8.07970485551
1128273239.03	7.25199035973
1128657636.54	7.95402306774
1128933299.79	7.7729368831
1128171263.66	7.72771076729
1128656310.42	7.47134925107
1127613184.2	6.85846963488
1126403558.96	6.51394453213
1128171518.69	7.16199135214
1128815977.86	6.72993301108
1128688216.65	5.98995193814
1127737863.12	7.79471850509
1127389906.76	10.0644577825
1126652504.18	7.73947859489
1127792310.34	6.26650863807
1127536358.64	6.94438817476
1127033331.87	7.23493781756
1128044136.39	7.17267453039
1129043244.3	6.95113277141
1127619322.13	6.35049884526
1127197078.86	7.39593566815
1128171518.67	8.31927399542
1129080224.54	6.54500628584
1128758349.11	8.73116597862
1126074827.15	9.28399481167
1128681523.31	11.4976467453
1127718903.33	10.5972105847
1129041370.3	8.21554998959
1128479412.37	8.09357531554
1128757091.07	10.0291502487
1128755932.49	7.11945336307
1128343287.36	9.99932345856
1129074846.18	11.7091948347
1128737615.34	7.64070859583
1127434694.13	8.55613639693
1127514977.75	9.3744797635
1128755861.57	7.91607078109
1126796497.07	11.411025599
1126991475.8	9.77266578374
1127261423.39	9.18057483172
1128495877.36	9.18257801266
1126559715.17	10.3951218448
1127696899.77	9.27952152633
1127262287.96	9.49683810797
1128704866.36	11.8756994749
1129074352.51	8.93497912666
1126627903.68	11.6593331651
1128658598.19	9.9512681568
1126811046.44	9.56506892494
1126655016.69	11.7727427854
1128761549.3	9.67025002304
1127385788.18	10.0336421834
1127038372.77	9.44289022955
1127220379.28	10.5126403181
1128821272.83	9.91255197371
1127628436.96	10.5450152488
1128755912.91	7.82116962981
1128761563.27	10.3477839749
1126568900.3	7.47016406787
1128752538.75	7.68609387751
1128658434.58	7.36367867509
1128430632.89	8.05275181662
1127240358.58	8.45042256933
1128285690.76	9.41763309727
1127254296.83	6.50796671683
1127555078.79	7.15813577398
1128399614.4	9.25284545406
1128640338.16	6.74461870703
1126999148.36	5.89466966185
1129105774.02	7.9752464685
1127458533.8	7.38086544482
1128998665.83	6.72118110279
1127259415.1	6.52536774422
1126990892.29	8.05548861553
1128168603.81	5.60717234315
1127651778.66	11.9315345511
1127611754.66	10.4415296165
1127620092.28	11.4452113385
1127253723.87	8.30457810683
1126848578.76	11.8616775473
1128761549.31	9.64047539349
1128633103.76	11.6322145517
1127270292.37	11.8056822872
1126799969.7	10.6790036672
1128415542.2	12.3153787974
1126910878.97	10.7970341445
1128657039.4	10.6966284661
1127640626.8	11.4891971829
1129077080.87	11.1843448861
1127009244.39	6.49482062395
1126759521.57	7.87695223763
1128673107.94	6.6888912647
1128248527.11	7.13238882545
1128171518.68	5.81049564338
