FAR	SNR	Htime	Ltime	HminusL
				
5.22e-14	11.51	1128755932.49	1127345261.17	1410671.31
1.1e-12	11	1128755932.49	1127195177.1	1560755.39
2.14e-12	10.92	1128755932.47	1128999235.06	-243302.59
3.18e-12	10.86	1127563746.2	1128818398.09	-1254651.89
4.23e-12	10.84	1128688216.65	1129341285.56	-653068.91
5.27e-12	10.82	1127038542.12	1127978059.83	-939517.7
6.31e-12	10.8	1128657039.39	1129379017.11	-721977.71
7.359999999999999e-12	10.78	1128657039.39	1128288741.29	368298.11
8.4e-12	10.76	1128755932.49	1128064532.3	691400.1899999999
9.44e-12	10.75	1128657039.39	1127724947.49	932091.9
1.05e-11	10.74	1128657039.39	1128634823.48	22215.91
1.15e-11	10.73	1126659549.62	1127978059.83	-1318510.21
1.26e-11	10.72	1128657039.39	1128414831.09	242208.3
1.36e-11	10.71	1128755932.49	1127794247.09	961685.4
1.47e-11	10.7	1128657039.39	1128956040.39	-299001
1.57e-11	10.69	1127627590.64	1127978059.83	-350469.19
1.67e-11	10.68	1126574261.37	1129341285.56	-2767024.19
1.78e-11	10.67	1128657039.39	1129101475.5	-444436.11
1.88e-11	10.67	1128657039.39	1129347074.89	-690035.5
1.99e-11	10.66	1128171518.67	1127527884.49	643634.1899999999
2.09e-11	10.66	1128755932.49	1128048778.39	707154.1
2.2e-11	10.65	1128755932.49	1127995656.4	760276.09
2.3e-11	10.65	1127795327.13	1127978059.83	-182732.7
2.41e-11	10.64	1128349728.33	1128433415.02	-83686.69
2.51e-11	10.64	1128171518.67	1127179243.18	992275.49
2.61e-11	10.63	1128294478.68	1127408530.99	885947.6899999999
2.72e-11	10.63	1128761549.31	1129311777.43	-550228.11
2.82e-11	10.63	1128171518.67	1128649201.37	-477682.7
2.93e-11	10.62	1128171518.67	1128239559.68	-68041
3.03e-11	10.62	1128755932.49	1126800938.8	1954993.69
3.14e-11	10.61	1128171518.69	1127992314.78	179203.91
3.24e-11	10.61	1127563746.2	1127370017.49	193728.71
3.34e-11	10.6	1128821272.83	1127978059.83	843213.01
3.45e-11	10.6	1127514977.75	1129218199.24	-1703221.49
3.55e-11	10.59	1128755932.49	1129042068.27	-286135.79
3.66e-11	10.59	1126566977.35	1129107452.96	-2540475.61
3.76e-11	10.58	1127640626.8	1127408530.99	232095.81
3.87e-11	10.58	1128171518.67	1127029306.96	1142211.71
3.97e-11	10.58	1128657039.39	1128166511.59	490527.81
4.08e-11	10.57	1128755932.49	1127634031.99	1121900.49
4.18e-11	10.57	1126326860.84	1128264914.75	-1938053.91
4.28e-11	10.57	1128755932.49	1128256767.4	499165.09
4.39e-11	10.56	1128171518.67	1128645950.18	-474431.51
4.49e-11	10.56	1128171518.67	1127513320.07	658198.6
4.6e-11	10.56	1128755932.49	1129094816.07	-338883.59
4.7e-11	10.55	1127666650.08	1127795952.07	-129301.99
4.81e-11	10.55	1127536358.64	1128051611.93	-515253.29
4.91e-11	10.54	1128171518.67	1128457496.27	-285977.6
5.01e-11	10.54	1128171518.67	1127005441.18	1166077.5
5.12e-11	10.53	1128344078.81	1129330715.1	-986636.29
5.22e-11	10.53	1128171518.69	1128822678.19	-651159.5
5.33e-11	10.53	1128755932.47	1129281254.16	-525321.6899999999
5.43e-11	10.52	1128761549.3	1128005321.6	756227.7
5.54e-11	10.52	1128755932.49	1129340532.2	-584599.71
5.64e-11	10.51	1127563746.2	1128297127.5	-733381.3
5.75e-11	10.51	1128171518.67	1129374323.27	-1202804.6
5.85e-11	10.51	1128673107.94	1129042081.55	-368973.6
5.95e-11	10.5	1128171518.67	1129245815.56	-1074296.89
6.06e-11	10.5	1128171518.67	1127553322.67	618196
6.16e-11	10.5	1127563746.2	1128169902.4	-606156.2
6.27e-11	10.49	1128704866.36	1129340231.97	-635365.61
6.37e-11	10.49	1127563746.2	1129294173.61	-1730427.41
6.48e-11	10.49	1128657039.39	1128915753.49	-258714.09
6.58e-11	10.49	1128223407.57	1129341285.56	-1117877.99
6.68e-11	10.48	1127792310.34	1127978059.83	-185749.49
6.790000000000001e-11	10.48	1128657044.22	1127978059.83	678984.39
6.89e-11	10.48	1127613214.24	1127978059.83	-364845.59
7e-11	10.47	1128761549.31	1129287675.1	-526125.79
7.1e-11	10.47	1127690546.59	1127984005.4	-293458.81
7.21e-11	10.47	1127783006.16	1127795952.07	-12945.91
7.31e-11	10.46	1128989188.46	1127795952.07	1193236.39
7.409999999999999e-11	10.46	1127220379.28	1127689119.37	-468740.1
7.52e-11	10.46	1128171518.67	1127563570.89	607947.79
7.620000000000001e-11	10.46	1127239888.6	1127520980.01	-281091.41
7.729999999999999e-11	10.45	1127563746.2	1128437075.7	-873329.49
7.83e-11	10.45	1128814300.66	1129253899.47	-439598.8
7.94e-11	10.45	1128171518.67	1129250446.38	-1078927.7
8.04e-11	10.44	1128757091.07	1129341285.56	-584194.49
8.15e-11	10.44	1127563746.2	1128071890.31	-508144.1
8.25e-11	10.44	1126257549.25	1129341285.56	-3083736.31
8.35e-11	10.44	1128755932.47	1129275324.66	-519392.19
8.46e-11	10.44	1126999148.36	1127355560.36	-356412
8.559999999999999e-11	10.43	1128240966.51	1127708453.3	532513.21
8.67e-11	10.43	1128755932.47	1127601949.66	1153982.81
8.77e-11	10.43	1127563746.2	1128164747.91	-601001.7
8.880000000000001e-11	10.43	1127789138.97	1129341285.56	-1552146.59
8.98e-11	10.43	1128755932.47	1128682884.36	73048.11
9.08e-11	10.42	1127563746.2	1126075486.99	1488259.21
9.19e-11	10.42	1128338512.08	1129343959.39	-1005447.31
9.29e-11	10.42	1126655016.69	1127408530.99	-753514.3
9.4e-11	10.42	1128343287.36	1127563106.77	780180.59
9.5e-11	10.41	1128171518.67	1128131325.97	40192.7
9.61e-11	10.41	1127651908.96	1126102087.56	1549821.4
9.710000000000001e-11	10.41	1127563746.2	1126771308.39	792437.8100000001
9.819999999999999e-11	10.41	1127563746.2	1128672972.81	-1109226.61
9.92e-11	10.41	1127620092.28	1127408530.99	211561.29
1e-10	10.4	1128121760.76	1129341285.56	-1219524.8
1.01e-10	10.4	1128761549.31	1126084809.22	2676740.09
1.02e-10	10.4	1128481003.16	1129341285.56	-860282.4
1.03e-10	10.4	1126562421.57	1127795952.07	-1233530.5
