File 	 GPStime 	 Lincoh8
posterior_L1_1127523212.58-1243.hdf5	1127523212.58	5.33830493854
posterior_L1_1126801225.46-1222.hdf5	1126801225.46	5.68953900799
posterior_L1_1127613214.24-965.hdf5	1127613214.24	4.27858190936
posterior_L1_1128663652.48-1175.hdf5	1128663652.48	6.57435350647
posterior_L1_1127048545.6-1102.hdf5	1127048545.6	4.56491686438
posterior_L1_1128169326.19-1204.hdf5	1128169326.19	6.23272831802
posterior_L1_1127061470.99-1057.hdf5	1127061470.99	4.37952360017
posterior_L1_1126326860.84-955.hdf5	1126326860.84	4.30771456077
posterior_L1_1126409035.17-1228.hdf5	1126409035.17	4.53127869072
posterior_L1_1127215863.8-1072.hdf5	1127215863.8	3.61225864716
posterior_L1_1127036380.99-1192.hdf5	1127036380.99	4.50766501562
posterior_L1_1127707470.88-1224.hdf5	1127707470.88	4.25857568489
posterior_L1_1127563746.2-938.hdf5	1127563746.2	4.07244099518
posterior_L1_1127048190.05-1234.hdf5	1127048190.05	5.04803833649
posterior_L1_1127563066.44-1167.hdf5	1127563066.44	4.70152673266
posterior_L1_1127708824.65-1045.hdf5	1127708824.65	4.94920502013
posterior_L1_1128934599.22-1239.hdf5	1128934599.22	6.06037756118
posterior_L1_1127239497.14-1221.hdf5	1127239497.14	6.47808531623
posterior_L1_1126955590.62-1004.hdf5	1126955590.62	5.0343029842
posterior_L1_1127107012.92-1039.hdf5	1127107012.92	5.04227540059
posterior_L1_1127477587.89-1128.hdf5	1127477587.89	5.36539788266
posterior_L1_1127253716.57-1138.hdf5	1127253716.57	5.76185778869
posterior_L1_1127045881.25-1078.hdf5	1127045881.25	4.68496921191
posterior_L1_1127621496.93-1206.hdf5	1127621496.93	5.34984397144
posterior_L1_1127785576.15-1194.hdf5	1127785576.15	4.96645171395
posterior_L1_1127711242.79-1001.hdf5	1127711242.79	5.51839135065
posterior_L1_1127050603.11-1120.hdf5	1127050603.11	5.40994826495
posterior_L1_1128250977.33-1100.hdf5	1128250977.33	6.87904599479
posterior_L1_1128349728.33-947.hdf5	1128349728.33	5.2519678053
posterior_L1_1127651908.96-980.hdf5	1127651908.96	5.71743987198
posterior_L1_1126768359.74-1209.hdf5	1126768359.74	4.82800657635
posterior_L1_1126566977.35-953.hdf5	1126566977.35	4.84312466494
posterior_L1_1127514561.97-1150.hdf5	1127514561.97	4.72021514211
posterior_L1_1127690546.59-966.hdf5	1127690546.59	5.0435128283
posterior_L1_1128652618.37-1236.hdf5	1128652618.37	5.89498331266
posterior_L1_1127433122.83-1123.hdf5	1127433122.83	5.76864526434
posterior_L1_1128627448.9-1169.hdf5	1128627448.9	6.16910058339
posterior_L1_1128051935.27-1145.hdf5	1128051935.27	4.88453852706
posterior_L1_1126626280.25-1052.hdf5	1126626280.25	5.19930166078
posterior_L1_1127376114.99-1115.hdf5	1127376114.99	5.7520325841
posterior_L1_1127211582.81-990.hdf5	1127211582.81	7.26972539975
posterior_L1_1127048512.1-1198.hdf5	1127048512.1	4.92083808062
posterior_L1_1129347653.96-1130.hdf5	1129347653.96	5.88243168303
posterior_L1_1128118929.13-1075.hdf5	1128118929.13	3.73281369728
posterior_L1_1128128183.41-1092.hdf5	1128128183.41	6.27327901923
posterior_L1_1127433034.29-1174.hdf5	1127433034.29	6.29812131773
posterior_L1_1128227171.02-1036.hdf5	1128227171.02	6.48227728378
posterior_L1_1127365568.72-1034.hdf5	1127365568.72	5.05705846479
posterior_L1_1128656678.41-1207.hdf5	1128656678.41	6.3243313503
posterior_L1_1128134270.18-1156.hdf5	1128134270.18	5.02085193665
posterior_L1_1127482452.16-986.hdf5	1127482452.16	4.06645572723
posterior_L1_1128218515.88-1146.hdf5	1128218515.88	5.50811821213
posterior_L1_1128123332.63-1126.hdf5	1128123332.63	4.97876078415
posterior_L1_1126910950.71-1231.hdf5	1126910950.71	7.30823601316
posterior_L1_1128168660.77-1178.hdf5	1128168660.77	5.11000032291
posterior_L1_1127514516.08-1095.hdf5	1127514516.08	4.30937826486
posterior_L1_1127181965.06-1219.hdf5	1127181965.06	5.35687709792
posterior_L1_1128057894.95-1084.hdf5	1128057894.95	6.28494841433
posterior_L1_1128670114.12-1099.hdf5	1128670114.12	5.31674596965
posterior_L1_1127608000.89-1061.hdf5	1127608000.89	5.12117645019
posterior_L1_1127203274.53-1155.hdf5	1127203274.53	5.89162905632
posterior_L1_1127787846.61-1063.hdf5	1127787846.61	6.82966225449
posterior_L1_1129047221.4-1114.hdf5	1129047221.4	8.0706274906
posterior_L1_1128703355.55-1103.hdf5	1128703355.55	6.68742934718
posterior_L1_1128682542.16-1141.hdf5	1128682542.16	6.60423971336
posterior_L1_1128762891.24-1211.hdf5	1128762891.24	7.94143224027
posterior_L1_1128916526.36-1185.hdf5	1128916526.36	6.70987444142
posterior_L1_1128814300.66-971.hdf5	1128814300.66	6.62089165786
posterior_L1_1127239888.6-970.hdf5	1127239888.6	6.99725986221
posterior_L1_1127564634.87-1021.hdf5	1127564634.87	9.4378158729
posterior_L1_1127620166.41-1172.hdf5	1127620166.41	7.31435375305
posterior_L1_1126660463.48-1131.hdf5	1126660463.48	6.83159392635
posterior_L1_1126770128.88-1009.hdf5	1126770128.88	8.48887793599
posterior_L1_1127107012.93-1053.hdf5	1127107012.93	7.54053094009
posterior_L1_1128761572.64-1038.hdf5	1128761572.64	7.38173092098
posterior_L1_1128340483.07-1160.hdf5	1128340483.07	7.45336003253
posterior_L1_1127999992.18-999.hdf5	1127999992.18	8.04950416622
posterior_L1_1128947771.55-1113.hdf5	1128947771.55	8.44294088436
posterior_L1_1128273386.61-1089.hdf5	1128273386.61	7.6410390145
posterior_L1_1127187088.53-1005.hdf5	1127187088.53	7.3812912563
posterior_L1_1127783006.16-967.hdf5	1127783006.16	8.7048104521
posterior_L1_1126109425.59-1233.hdf5	1126109425.59	7.80851630142
posterior_L1_1128230000.75-1213.hdf5	1128230000.75	8.33502344015
posterior_L1_1129040988.14-1007.hdf5	1129040988.14	8.28644477513
posterior_L1_1128740991.91-1162.hdf5	1128740991.91	6.93450304275
posterior_L1_1127002734.67-1018.hdf5	1127002734.67	8.87625526425
posterior_L1_1129067990.67-1011.hdf5	1129067990.67	7.91144082554
posterior_L1_1127434682.83-994.hdf5	1127434682.83	7.37978909554
posterior_L1_1128250583.68-1082.hdf5	1128250583.68	7.8846074853
posterior_L1_1128392318.28-1068.hdf5	1128392318.28	5.65168730798
posterior_L1_1128761243.95-1031.hdf5	1128761243.95	6.77133181217
posterior_L1_1127625972.1-1161.hdf5	1127625972.1	8.2279349816
posterior_L1_1127990409.96-1230.hdf5	1127990409.96	10.4908326309
posterior_L1_1127072188.19-1046.hdf5	1127072188.19	7.09921493485
posterior_L1_1127666650.08-956.hdf5	1127666650.08	11.1413384419
posterior_L1_1128761443.57-1139.hdf5	1128761443.57	7.82028090633
posterior_L1_1128148413.1-1106.hdf5	1128148413.1	8.1248283893
posterior_L1_1128814670.87-1096.hdf5	1128814670.87	9.18884814645
posterior_L1_1128657044.22-964.hdf5	1128657044.22	6.68188917858
posterior_L1_1128991246.34-1062.hdf5	1128991246.34	6.56334467414
posterior_L1_1127183208.07-1158.hdf5	1127183208.07	9.75078474918
posterior_L1_1127512704.75-1050.hdf5	1127512704.75	8.85697711897
posterior_L1_1127699470.58-1071.hdf5	1127699470.58	8.5955598211
posterior_L1_1128223407.57-962.hdf5	1128223407.57	9.61179367545
posterior_L1_1128129991.22-1104.hdf5	1128129991.22	8.38906773653
posterior_L1_1127407387.5-1015.hdf5	1127407387.5	7.51774220808
posterior_L1_1127699133.26-993.hdf5	1127699133.26	9.58046967696
posterior_L1_1128121760.76-982.hdf5	1128121760.76	9.74604528638
posterior_L1_1126627775.49-987.hdf5	1126627775.49	10.4378224609
posterior_L1_1129333578.26-1002.hdf5	1129333578.26	9.83814215973
posterior_L1_1127789138.97-976.hdf5	1127789138.97	9.56252985251
posterior_L1_1128932085.61-1051.hdf5	1128932085.61	7.35498275502
posterior_L1_1127202366.25-1142.hdf5	1127202366.25	9.02167723487
posterior_L1_1126574261.37-944.hdf5	1126574261.37	9.67253234929
posterior_L1_1128872711.5-1012.hdf5	1128872711.5	10.289468419
posterior_L1_1129070227.86-1077.hdf5	1129070227.86	8.70389723003
posterior_L1_1128481003.16-983.hdf5	1128481003.16	9.77725241788
posterior_L1_1127627590.64-943.hdf5	1127627590.64	9.81250484136
posterior_L1_1126690215.06-1033.hdf5	1126690215.06	10.3533741476
posterior_L1_1126257549.25-973.hdf5	1126257549.25	10.2114545859
posterior_L1_1127795327.13-946.hdf5	1127795327.13	7.35654412035
posterior_L1_1128338512.08-977.hdf5	1128338512.08	9.6002516616
posterior_L1_1126742304.84-998.hdf5	1126742304.84	9.946452373
posterior_L1_1128954745.38-1171.hdf5	1128954745.38	7.87957100399
posterior_L1_1128910873.35-1108.hdf5	1128910873.35	7.30657541826
posterior_L1_1126571737.05-1107.hdf5	1126571737.05	7.46779249208
posterior_L1_1127652973.03-1022.hdf5	1127652973.03	5.85730670136
posterior_L1_1127169666.27-995.hdf5	1127169666.27	9.95689506545
posterior_L1_1128116556.94-996.hdf5	1128116556.94	7.43065816904
posterior_L1_1127370445.59-1246.hdf5	1127370445.59	7.6475697003
posterior_L1_1126562421.57-984.hdf5	1126562421.57	7.78817232062
posterior_L1_1129069137.67-1229.hdf5	1129069137.67	7.83513364848
posterior_L1_1129117794.69-1094.hdf5	1129117794.69	7.20622519859
posterior_L1_1128134491.19-1135.hdf5	1128134491.19	6.5889936065
posterior_L1_1128943896.58-1190.hdf5	1128943896.58	8.36843139958
posterior_L1_1127038542.12-940.hdf5	1127038542.12	8.40411212503
posterior_L1_1128430997.75-1076.hdf5	1128430997.75	6.3094495462
posterior_L1_1128950294.18-1140.hdf5	1128950294.18	8.07970485551
posterior_L1_1128273239.03-1186.hdf5	1128273239.03	7.25199035973
posterior_L1_1128657636.54-1163.hdf5	1128657636.54	7.95402306774
posterior_L1_1128933299.79-1232.hdf5	1128933299.79	7.7729368831
posterior_L1_1128171263.66-985.hdf5	1128171263.66	7.72771076729
posterior_L1_1128656310.42-1024.hdf5	1128656310.42	7.47134925107
posterior_L1_1127613184.2-1245.hdf5	1127613184.2	6.85846963488
posterior_L1_1126403558.96-1014.hdf5	1126403558.96	6.51394453213
posterior_L1_1128171518.69-950.hdf5	1128171518.69	7.16199135214
posterior_L1_1128815977.86-1105.hdf5	1128815977.86	6.72993301108
posterior_L1_1128688216.65-939.hdf5	1128688216.65	5.98995193814
posterior_L1_1127737863.12-1025.hdf5	1127737863.12	7.79471850509
posterior_L1_1127389906.76-1043.hdf5	1127389906.76	10.0644577825
posterior_L1_1126652504.18-1205.hdf5	1126652504.18	7.73947859489
posterior_L1_1127792310.34-963.hdf5	1127792310.34	6.26650863807
posterior_L1_1127536358.64-957.hdf5	1127536358.64	6.94438817476
posterior_L1_1127033331.87-1188.hdf5	1127033331.87	7.23493781756
posterior_L1_1128044136.39-1065.hdf5	1128044136.39	7.17267453039
posterior_L1_1129043244.3-1079.hdf5	1129043244.3	6.95113277141
posterior_L1_1127619322.13-1176.hdf5	1127619322.13	6.35049884526
posterior_L1_1127197078.86-1090.hdf5	1127197078.86	7.39593566815
posterior_L1_1128171518.67-945.hdf5	1128171518.67	8.31927399542
posterior_L1_1129080224.54-1134.hdf5	1129080224.54	6.54500628584
posterior_L1_1128758349.11-1132.hdf5	1128758349.11	8.73116597862
posterior_L1_1126074827.15-992.hdf5	1126074827.15	9.28399481167
posterior_L1_1128681523.31-1168.hdf5	1128681523.31	11.4976467453
posterior_L1_1127718903.33-1166.hdf5	1127718903.33	10.5972105847
posterior_L1_1129041370.3-991.hdf5	1129041370.3	8.21554998959
posterior_L1_1128479412.37-1127.hdf5	1128479412.37	8.09357531554
posterior_L1_1128757091.07-972.hdf5	1128757091.07	10.0291502487
