File 	 GPStime 	 Lincoh16
posterior_L1_1126409035.17-292.hdf5	1126409035.17	5.5904321724
posterior_L1_1128134270.18-220.hdf5	1128134270.18	4.78766596326
posterior_L1_1128171518.69-14.hdf5	1128171518.69	3.68933599178
posterior_L1_1128218515.88-210.hdf5	1128218515.88	4.68864542838
posterior_L1_1126801225.46-286.hdf5	1126801225.46	5.3407012486
posterior_L1_1127482452.16-50.hdf5	1127482452.16	5.14233907022
posterior_L1_1128123332.63-190.hdf5	1128123332.63	5.36684475424
posterior_L1_1128044136.39-129.hdf5	1128044136.39	5.7578965245
posterior_L1_1128663652.48-239.hdf5	1128663652.48	5.65325702999
posterior_L1_1128050418.25-302.hdf5	1128050418.25	5.58557326447
posterior_L1_1127107012.92-103.hdf5	1127107012.92	5.32683567437
posterior_L1_1126626280.25-116.hdf5	1126626280.25	6.66970785414
posterior_L1_1127259176.72-208.hdf5	1127259176.72	6.61840314841
posterior_L1_1128227171.02-100.hdf5	1128227171.02	5.51810674129
posterior_L1_1128656678.41-271.hdf5	1128656678.41	5.82749550108
posterior_L1_1127563746.2-2.hdf5	1127563746.2	5.37857062266
posterior_L1_1126326860.84-19.hdf5	1126326860.84	4.52756376445
posterior_L1_1127253716.57-202.hdf5	1127253716.57	4.14452114291
posterior_L1_1127460422.0-305.hdf5	1127460422.0	3.96885809883
posterior_L1_1127611737.76-138.hdf5	1127611737.76	5.436881896
posterior_L1_1128658434.58-260.hdf5	1128658434.58	6.81641656749
posterior_L1_1127406380.06-299.hdf5	1127406380.06	6.07423076557
posterior_L1_1128640338.16-213.hdf5	1128640338.16	7.4234359078
posterior_L1_1127514516.08-159.hdf5	1127514516.08	5.44193694894
posterior_L1_1127253722.89-284.hdf5	1127253722.89	6.24815648765
posterior_L1_1127048512.1-262.hdf5	1127048512.1	5.04104399305
posterior_L1_1127523212.58-307.hdf5	1127523212.58	5.86492022607
posterior_L1_1127048545.6-166.hdf5	1127048545.6	4.44928101748
posterior_L1_1127044136.03-276.hdf5	1127044136.03	5.00908032894
posterior_L1_1127477587.89-192.hdf5	1127477587.89	4.59583896269
posterior_L1_1127394653.64-99.hdf5	1127394653.64	5.86210454649
posterior_L1_1127045881.25-142.hdf5	1127045881.25	4.56427309623
posterior_L1_1127690546.59-30.hdf5	1127690546.59	5.04877576217
posterior_L1_1127254296.83-113.hdf5	1127254296.83	6.16303447053
posterior_L1_1128692057.64-244.hdf5	1128692057.64	6.54574589975
posterior_L1_1128740991.91-226.hdf5	1128740991.91	6.37348332013
posterior_L1_1126644888.8-186.hdf5	1126644888.8	6.91069952559
posterior_L1_1128430632.89-165.hdf5	1128430632.89	7.13734276802
posterior_L1_1127211582.81-54.hdf5	1127211582.81	5.21848869022
posterior_L1_1127050603.11-184.hdf5	1127050603.11	4.49335808456
posterior_L1_1128294478.68-12.hdf5	1128294478.68	6.37931249859
posterior_L1_1127215863.8-136.hdf5	1127215863.8	4.64594498254
posterior_L1_1127061470.99-121.hdf5	1127061470.99	4.44517441544
posterior_L1_1127514561.97-214.hdf5	1127514561.97	4.88988603708
posterior_L1_1127708824.65-109.hdf5	1127708824.65	4.95494333416
posterior_L1_1127621496.93-270.hdf5	1127621496.93	4.70778434844
posterior_L1_1128656310.42-88.hdf5	1128656310.42	7.7899123806
posterior_L1_1128503871.17-267.hdf5	1128503871.17	6.64488510288
posterior_L1_1126999148.36-38.hdf5	1126999148.36	7.25721234179
posterior_L1_1128128183.41-156.hdf5	1128128183.41	5.66093453413
posterior_L1_1129347653.96-194.hdf5	1129347653.96	4.5061313156
posterior_L1_1128168603.81-279.hdf5	1128168603.81	7.24859866324
posterior_L1_1128168660.77-242.hdf5	1128168660.77	5.46930428522
