File 	 GPStime 	 HCoh16	 LCoh16
posterior_H1L1_1127555078.79-306.hdf5	1127555078.79	5.21212836373	5.09415391204
posterior_H1L1_1127010131.28-182.hdf5	1127010131.28	5.09351163268	4.2461667033
posterior_H1L1_1127048190.05-298.hdf5	1127048190.05	5.44366803352	4.85897958674
posterior_H1L1_1128627448.9-233.hdf5	1128627448.9	4.98964523063	5.36434427195
posterior_H1L1_1128229543.99-266.hdf5	1128229543.99	4.90990685422	5.36896299773
posterior_H1L1_1127036380.99-256.hdf5	1127036380.99	6.48507445434	5.03513119451
posterior_H1L1_1126759600.57-264.hdf5	1126759600.57	5.6890832274	5.86346190147
posterior_H1L1_1127100483.06-282.hdf5	1127100483.06	4.88848954335	5.52164381393
posterior_H1L1_1127783006.16-31.hdf5	1127783006.16	5.82011803148	5.26207588586
posterior_H1L1_1129249120.03-289.hdf5	1129249120.03	4.42800227512	4.87029439421
posterior_H1L1_1129069137.67-293.hdf5	1129069137.67	5.35485053905	6.37718320385
posterior_H1L1_1128737615.34-243.hdf5	1128737615.34	5.2491388408	5.35634771003
posterior_H1L1_1128044136.39-129.hdf5	1128044136.39	7.21954520975	5.88451570335
posterior_H1L1_1128688216.65-3.hdf5	1128688216.65	6.02135607029	5.3040787609
posterior_H1L1_1128123332.63-190.hdf5	1128123332.63	6.83553999036	5.32251768689
posterior_H1L1_1127523212.58-307.hdf5	1127523212.58	5.74175975756	4.92277972072
posterior_H1L1_1127557023.8-272.hdf5	1127557023.8	4.83617899323	3.74679819142
posterior_H1L1_1128657636.54-227.hdf5	1128657636.54	6.62706250772	6.6274745242
posterior_H1L1_1127563066.44-231.hdf5	1127563066.44	5.25024661102	6.33079614551
posterior_H1L1_1126568900.3-274.hdf5	1126568900.3	6.87753229161	6.60578030285
posterior_H1L1_1128230000.75-277.hdf5	1128230000.75	6.7286593042	6.99884536458
posterior_H1L1_1127239362.6-291.hdf5	1127239362.6	5.44474966109	4.89425745822
posterior_H1L1_1127050603.11-184.hdf5	1127050603.11	5.50092315674	4.07230517337
posterior_H1L1_1128640338.16-213.hdf5	1128640338.16	6.40667457238	6.17189372721
posterior_H1L1_1128134270.18-220.hdf5	1128134270.18	3.92208963486	3.16928005925
posterior_H1L1_1126988387.91-248.hdf5	1126988387.91	6.23627097406	5.89336994276
posterior_H1L1_1128168603.81-279.hdf5	1128168603.81	6.4080750702	6.1242506291
posterior_H1L1_1128630031.13-237.hdf5	1128630031.13	5.86591522331	6.02483010543
posterior_H1L1_1128656310.42-88.hdf5	1128656310.42	6.68786070513	7.19402176001
posterior_H1L1_1126562421.57-48.hdf5	1126562421.57	5.7619520521	6.13687022261
posterior_H1L1_1126409035.17-292.hdf5	1126409035.17	3.75115001272	3.29126313167
posterior_H1L1_1128168660.77-242.hdf5	1128168660.77	5.96210708311	3.84751672029
posterior_H1L1_1128995282.66-118.hdf5	1128995282.66	6.33152679151	6.02825319842
